ID	CRIME_LOCATION	CRIME_LATLONG	DEFENDANT_HOME	DEFENDANT_HOME_LATLONG
t17320906-5				
t17320906-51				
t17320906-52				
t17320906-55				
t17320906-56				
t17320906-59				
t17320906-6				
t17320906-7				
t17320906-73				
t17320906-75				
t17320906-76				
t17320906-77				
t17320906-8				
t17321011-12	Great-Marlborough-Street	"51.51447,-0.138563"	St. James's Westminster	"51.507908,-0.136573"
t17321011-12	Great-Marlborough-Street	"51.51447,-0.138563"	St. James's Westminster	"51.507908,-0.136573"
t17321011-2			Cornhill	"51.671824,-0.032728"
t17321011-23			St. Clements Danes	"51.50853,-0.12574"
t17321011-24			Christ Church	"51.506245,-0.105154"
t17321011-25				
t17321011-26	Royal Bagnio in St. James's-Street	"51.50853,-0.12574"	St. James's Westminster	"51.507908,-0.136573"
t17321011-26	Royal Bagnio in St. James's-Street	"51.50853,-0.12574"	St. James's Westminster	"51.507908,-0.136573"
t17321011-3	Bishopsgate-street	"51.50853,-0.12574"	St. Botolph without Bishopsgate	"51.51676,-0.08164"
t17321011-3	Bishopsgate-street	"51.50853,-0.12574"	St. Botolph without Bishopsgate	"51.51676,-0.08164"
t17321011-37			Christ-Church	"51.506245,-0.105154"
t17321011-40			St. Martins in the Fields	"51.50853,-0.12574"
t17321011-42	Queen-Street	"51.574962,0.176603"	"St. Pancras, Soper-Lane"	"51.50853,-0.12574"
t17321011-42	Queen-Street	"51.574962,0.176603"	"St. Pancras, Soper-Lane"	"51.50853,-0.12574"
t17321011-43			Poultry	"51.55567,-0.213815"
t17321011-5	Breadstreet-hill	"51.50853,-0.12574"	Queenhith	"51.50853,-0.12574"
t17321011-5	Breadstreet-hill	"51.50853,-0.12574"	Queenhith	"51.50853,-0.12574"
t17321011-6	Great Ambry [Almonry] Westminster	"51.5,-0.11667"	St. Margaret Westminster	"51.499834,-0.126706"
t17321011-6	Great Ambry [Almonry] Westminster	"51.5,-0.11667"	St. Margaret Westminster	"51.499834,-0.126706"
t17321011-7			St. Mary le Strand	"51.512186,-0.116823"
t17321011-8	Chare	"51.50853,-0.12574"	St. Sepulchres	"51.50853,-0.12574"
t17321011-8	Chare	"51.50853,-0.12574"	St. Sepulchres	"51.50853,-0.12574"
t17321206-1			St. Martins Ludgate	"51.50853,-0.12574"
t17321206-10				
t17321206-11				
t17321206-13				
t17321206-16				
t17321206-18				
t17321206-19	Smithfield Bars	"51.50853,-0.12574"		
t17321206-2				
t17321206-20				
t17321206-21				
t17321206-22				
t17321206-24				
t17321206-25				
t17321206-26				
t17321206-28			St. Martin's in the Fields	"51.50853,-0.12574"
t17321206-3	Blowbladder-Street	"51.50853,-0.12574"		
t17321206-33				
t17321206-4				
t17321206-40				
t17321206-42				
t17321206-44				
t17321206-46				
t17321206-48				
t17321206-49				
t17321206-50				
t17321206-53				
t17321206-55				
t17321206-56				
t17321206-57				
t17321206-58				
t17321206-59				
t17321206-6			St. Leonard Bromley	"51.40606,0.01519"
t17321206-60				
t17321206-61				
t17321206-73				
t17321206-75				
t17321206-9				
t17330112-1				
t17330112-10				
t17330112-11				
t17330112-12				
t17330112-13				
t17330112-14				
t17330112-16				
t17330112-17				
t17330112-18				
t17330112-19				
t17330112-2				
t17330112-20				
t17330112-21				
t17330112-27				
t17330112-30				
t17330112-31				
t17330112-32				
t17330112-35				
t17330112-4	Drury-Lane	"51.514507,-0.121907"		
t17330112-5				
t17330112-6				
t17330112-7				
t17330112-8				
t17330112-9				
t17330221-1				
t17330221-10	Great-Turnstile in Holborn	"51.51784,-0.115725"		
t17330221-11				
t17330221-13				
t17330221-15	Blow-Bladder-Street	"51.50853,-0.12574"		
t17330221-16				
t17330221-18				
t17330221-19				
t17330221-2				
t17330221-20				
t17330221-21				
t17330221-22				
t17330221-23				
t17330221-27				
t17330221-3				
t17330221-31				
t17330221-33				
t17330221-34	Leadenhall-street	"51.50853,-0.12574"		
t17330221-36				
t17330221-37				
t17330221-4				
t17330221-42				
t17330221-45	Fetter-Lane	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17330221-45	Fetter-Lane	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17330221-49				
t17330221-5				
t17330221-50				
t17330221-51				
t17330221-53				
t17330221-6				
t17330221-7				
t17330221-8	"Cary-street, Westminster"	"51.5,-0.11667"		
t17330404-1				
t17330404-10				
t17330404-11				
t17330404-12				
t17330404-13				
t17330404-14				
t17330404-17				
t17330404-18				
t17330404-20				
t17330404-21				
t17330404-22				
t17330404-23				
t17330404-25				
t17330404-29				
t17330404-31				
t17330404-32				
t17330404-34				
t17330404-35				
t17330404-36				
t17330404-37				
t17330404-38				
t17330404-39				
t17330404-40				
t17330404-41				
t17330404-46				
t17330404-49				
t17330404-5				
t17330404-54				
t17330404-55				
t17330404-6				
t17330404-60				
t17330404-8				
t17330404-9				
t17330510-1				
t17330510-14				
t17330510-16				
t17330510-19	St. Giles's in the Fields	"51.50853,-0.12574"		
t17330510-19	St. Giles's in the Fields	"51.50853,-0.12574"		
t17330510-2				
t17330510-20	Angel in Half Moon Court in Whitechappel	"51.50853,-0.12574"		
t17330510-22				
t17330510-23	Gray's-Inn Lane	"51.50853,-0.12574"		
t17330510-27				
t17330510-31				
t17330510-34				
t17330510-35				
t17330510-37				
t17330510-38				
t17330510-5				
t17330510-6				
t17330510-7				
t17330628-1	London-Bridge	"51.507851,-0.087637"		
t17330628-11				
t17330628-12				
t17330628-13				
t17330628-15				
t17330628-19				
t17330628-22				
t17330628-27				
t17330628-28				
t17330628-29	Grays-Inn-Walks	"51.50853,-0.12574"		
t17330628-3				
t17330628-33				
t17330628-35				
t17330628-37				
t17330628-39				
t17330628-40				
t17330628-41				
t17330628-42				
t17330628-8				
t17330912-1				
t17330912-11				
t17330912-12				
t17330912-13				
t17330912-14				
t17330912-15				
t17330912-19				
t17330912-2				
t17330912-20				
t17330912-23				
t17330912-24				
t17330912-25				
t17330912-26	Strand	"51.508834,-0.125093"		
t17330912-27	"Northumberland-House, in the Strand"	"51.50853,-0.12574"		
t17330912-27	"Northumberland-House, in the Strand"	"51.50853,-0.12574"		
t17330912-28				
t17330912-30				
t17330912-32			Thistleworth	"51.483484,-0.348995"
t17330912-38				
t17330912-4	"White-Horse-Field, in Radcliff"	"51.50853,-0.12574"		
t17330912-41				
t17330912-46				
t17330912-60				
t17330912-61				
t17330912-63				
t17330912-66				
t17330912-7				
t17330912-78				
t17330912-79				
t17330912-8	King's-Arms in Burr-street	"51.50853,-0.12574"		
t17330912-9	Ship Mary	"51.468397,-0.269985"		
t17330912-9	Ship Mary	"51.468397,-0.269985"		
t17331010-1	"Horse-Shoe and Magpye Alehouse, the Corner of Fetter-Lane, in Fleet-Street"	"51.28333,-0.83333"		
t17331010-10				
t17331010-11				
t17331010-13				
t17331010-15	Chancery-lane	"51.518107,-0.11236"		
t17331010-16				
t17331010-18				
t17331010-28				
t17331010-29				
t17331010-30				
t17331010-31				
t17331010-32				
t17331010-36				
t17331010-38				
t17331010-39				
t17331010-40				
t17331010-43				
t17331010-6				
t17331010-8				
t17331010-9				
t17331205-1				
t17331205-10	near Cavendish-Square	"51.507265,-0.127833"		
t17331205-11	Red-lion-square	"51.51898,-0.118748"		
t17331205-13				
t17331205-15				
t17331205-16				
t17331205-17				
t17331205-18				
t17331205-2				
t17331205-23				
t17331205-25				
t17331205-26				
t17331205-28				
t17331205-3	Walbrook	"51.533579,-0.20174"		
t17331205-33				
t17331205-34				
t17331205-35				
t17331205-37				
t17331205-38				
t17331205-4				
t17331205-40				
t17331205-41				
t17331205-42				
t17331205-43				
t17331205-44				
t17331205-45				
t17331205-46				
t17331205-47				
t17331205-5				
t17331205-50				
t17331205-53				
t17331205-57				
t17331205-6				
t17331205-7	Three Compasses against St. Giles's Church	"51.50853,-0.12574"		
t17331205-8	Exchange Alley	"51.50853,-0.12574"		
t17340116-1	"Bell-Yard in King's-street, Westminster"	"51.5,-0.11667"		
t17340116-10				
t17340116-16				
t17340116-17				
t17340116-18				
t17340116-19				
t17340116-2			South-Mims	"51.50853,-0.12574"
t17340116-26				
t17340116-27				
t17340116-3				
t17340116-32				
t17340116-34				
t17340116-35				
t17340116-41				
t17340116-42	Lodgings by St. Giles's Pound	"51.50853,-0.12574"		
t17340116-43				
t17340227-1				
t17340227-14				
t17340227-16				
t17340227-17				
t17340227-2				
t17340227-20				
t17340227-21				
t17340227-22				
t17340227-25				
t17340227-26				
t17340227-28				
t17340227-29				
t17340227-3	Mark-lane in Tower-street	"51.50853,-0.12574"		
t17340227-30				
t17340227-34				
t17340227-35				
t17340227-38				
t17340227-39	Finsbury	"51.526574,-0.107071"		
t17340227-4				
t17340227-40				
t17340227-42				
t17340227-43				
t17340227-44	Hoxton Square	"51.52733,-0.081605"		
t17340227-45				
t17340227-47				
t17340227-48				
t17340227-49				
t17340227-5				
t17340227-50				
t17340227-53				
t17340227-57				
t17340227-58				
t17340227-59				
t17340227-6				
t17340227-60				
t17340227-61				
t17340227-7				
t17340227-8				
t17340227-9				
t17340424-11				
t17340424-12				
t17340424-13				
t17340424-15				
t17340424-16				
t17340424-2				
t17340424-23				
t17340424-24				
t17340424-25				
t17340424-27				
t17340424-28				
t17340424-29				
t17340424-3				
t17340424-30				
t17340424-31				
t17340424-32				
t17340424-35				
t17340424-38	George-Yard Lombard-street	"51.50853,-0.12574"		
t17340424-39				
t17340424-4				
t17340424-41				
t17340424-46				
t17340424-50				
t17340424-53				
t17340424-56				
t17340424-57				
t17340424-6	Key and Garter in Drury-lane	"51.51278,-0.12038"		
t17340424-7				
t17340424-8				
t17340424-9				
t17340630-1	London-Bridge	"51.507851,-0.087637"		
t17340630-14				
t17340630-18	St. Margaret's Westminster	"51.5,-0.11667"		
t17340630-22				
t17340630-23				
t17340630-28	White-chappel	"51.50853,-0.12574"		
t17340630-30				
t17340630-33	"King-street, Westminster"	"51.506282,-0.137893"		
t17340630-34				
t17340630-8				
t17340630-9				
t17340710-10				
t17340710-11				
t17340710-12	Duck Lane	"51.513994,-0.134798"		
t17340710-13				
t17340710-14				
t17340710-15				
t17340710-19	Bishopsgate	"51.452171,-0.293293"		
t17340710-2				
t17340710-21				
t17340710-3				
t17340710-31				
t17340710-36	Liquor-Pond-Street	"51.50853,-0.12574"		
t17340710-37				
t17340911-11				
t17340911-12	"The Happy Return, near King James's-Stairs"	"51.50853,-0.12574"		
t17340911-13				
t17340911-16				
t17340911-17				
t17340911-18				
t17340911-21				
t17340911-23				
t17340911-25				
t17340911-26	"Queen's Gravel walk,"	"51.50853,-0.12574"	St. James's Westminster	"51.507908,-0.136573"
t17340911-26	"Queen's Gravel walk,"	"51.50853,-0.12574"	St. James's Westminster	"51.507908,-0.136573"
t17340911-30				
t17340911-34				
t17340911-37				
t17340911-38				
t17340911-39				
t17340911-43				
t17340911-45				
t17340911-46				
t17340911-47	Hanging-Sword-Alley	"51.50853,-0.12574"		
t17340911-49				
t17340911-50				
t17340911-52				
t17340911-55				
t17340911-7	Stoke-Newington	"51.557697,-0.077282"		
t17340911-8				
t17340911-9	Ship-Tavern at Temple-Bar	"51.50853,-0.12574"		
t17341016-10	Westminster	"51.497321,-0.137149"		
t17341016-14	Covent-Garden	"51.512889,-0.122531"		
t17341016-15				
t17341016-17				
t17341016-18				
t17341016-26				
t17341016-3	Indian Queen in Crispin-street	"51.50853,-0.12574"		
t17341016-4			St. Clement-Danes	"51.513109,-0.113857"
t17341016-6				
t17341016-7	Duke's Head in Devereux Court	"51.50853,-0.12574"		
t17341016-9	"Stangate, a little on this side Lambeth"	"51.487542,-0.16822"	Kensington	"51.498995,-0.199123"
t17341016-9	"Stangate, a little on this side Lambeth"	"51.487542,-0.16822"	Kensington	"51.498995,-0.199123"
t17341016-9	"Stangate, a little on this side Lambeth"	"51.487542,-0.16822"	Kensington	"51.498995,-0.199123"
t17341204-1				
t17341204-11				
t17341204-12				
t17341204-13	Cripplegate	"51.50853,-0.12574"		
t17341204-14				
t17341204-15	Snow-Hill	"51.50853,-0.12574"		
t17341204-16				
t17341204-18				
t17341204-19				
t17341204-20				
t17341204-22	Red-Lyon-Inn in Holborn	"51.51753,-0.12045"		
t17341204-23				
t17341204-25	St. Giles's without Cripplegate	"51.50853,-0.12574"		
t17341204-27				
t17341204-30				
t17341204-31				
t17341204-32				
t17341204-33				
t17341204-34				
t17341204-36				
t17341204-37	"Old Devil Tavern, Temple-Bar"	"51.50853,-0.12574"		
t17341204-40				
t17341204-44				
t17341204-46				
t17341204-47				
t17341204-48				
t17341204-49				
t17341204-50				
t17341204-51	Old-Swan-Lane	"51.50853,-0.12574"		
t17341204-52				
t17341204-55				
t17341204-62	Bowl-Yard in St. Giles's	"51.50853,-0.12574"		
t17341204-63				
t17341204-64				
t17341204-65				
t17341204-71				
t17341204-72	St. Martins in the Fields	"51.50853,-0.12574"		
t17341204-73				
t17341204-74				
t17350116-1				
t17350116-10				
t17350116-12				
t17350116-14				
t17350116-15				
t17350116-16				
t17350116-17				
t17350116-18				
t17350116-19				
t17350116-2				
t17350116-20				
t17350116-23				
t17350116-24				
t17350116-25				
t17350116-26				
t17350116-3	Great Eastcheap	"51.50853,-0.12574"		
t17350116-30				
t17350116-34				
t17350116-35				
t17350116-37				
t17350116-40				
t17350116-41				
t17350116-45				
t17350116-46				
t17350116-49				
t17350116-51				
t17350116-52				
t17350116-54				
t17350116-56				
t17350116-57				
t17350116-58				
t17350116-60				
t17350116-61				
t17350116-64				
t17350116-67				
t17350116-69				
t17350116-9	Old-Bedlam	"51.38093,-0.02975"		
t17350226-1				
t17350226-10	"Chandois Street, Covent Garden"	"51.51424,-0.12471"		
t17350226-11	St. Martin's Lane	"51.511826,-0.127094"		
t17350226-12				
t17350226-13				
t17350226-15				
t17350226-16				
t17350226-2				
t17350226-20				
t17350226-25				
t17350226-27				
t17350226-31				
t17350226-33	Leather Lane in Holborn	"51.5073,-0.13982"		
t17350226-33	Leather Lane in Holborn	"51.5073,-0.13982"		
t17350226-36				
t17350226-37				
t17350226-39				
t17350226-4				
t17350226-42				
t17350226-44				
t17350226-5				
t17350226-51				
t17350226-52				
t17350226-53	King street Westminster	"51.506282,-0.137893"		
t17350226-54				
t17350226-60				
t17350226-68				
t17350226-7	Ipswich Arms in Cullum-street	"51.50853,-0.12574"		
t17350226-70				
t17350416-13				
t17350416-14				
t17350416-16				
t17350416-17				
t17350416-18				
t17350416-2				
t17350416-21				
t17350416-22				
t17350416-23				
t17350416-26	St. Mary le Bow	"51.52609,-0.01665"		
t17350416-27	Angel and Crown the Corner of Sheer Lane	"51.50853,-0.12574"		
t17350416-29				
t17350416-31				
t17350416-33				
t17350416-37				
t17350416-38				
t17350416-39				
t17350416-41				
t17350416-42				
t17350416-44				
t17350416-45				
t17350416-47	"Dawes Street, in the Broadway, Westminster"	"51.5,-0.11667"		
t17350416-49				
t17350416-52				
t17350416-53				
t17350416-55				
t17350416-6				
t17350416-63				
t17350416-64				
t17350416-65				
t17350416-69				
t17350416-8				
t17350522-10				
t17350522-13				
t17350522-14				
t17350522-17				
t17350522-25				
t17350522-26	Lime Kiln Dock	"51.50853,-0.12574"	White Chapple	"51.40606,0.01519"
t17350522-26	Lime Kiln Dock	"51.50853,-0.12574"	White Chapple	"51.40606,0.01519"
t17350522-26	Lime Kiln Dock	"51.50853,-0.12574"	White Chapple	"51.40606,0.01519"
t17350522-26	Lime Kiln Dock	"51.50853,-0.12574"	White Chapple	"51.40606,0.01519"
t17350522-26	Lime Kiln Dock	"51.50853,-0.12574"	White Chapple	"51.40606,0.01519"
t17350522-28				
t17350522-29				
t17350522-30				
t17350522-35				
t17350522-6				
t17350522-9				
t17350702-11				
t17350702-13				
t17350702-14				
t17350702-16				
t17350702-2				
t17350702-20				
t17350702-24				
t17350702-27				
t17350702-29				
t17350702-3				
t17350702-32				
t17350702-33				
t17350702-37				
t17350702-41				
t17350702-47				
t17350702-5	Cecil Court	"51.510742,-0.126945"		
t17350702-51				
t17350702-55				
t17350702-8				
t17350702-9				
t17350911-1				
t17350911-11				
t17350911-12	St. James's Park	"51.50307,-0.133185"		
t17350911-13				
t17350911-14	Long-Acre	"51.507179,-0.127566"		
t17350911-14	Long-Acre	"51.507179,-0.127566"		
t17350911-14	Long-Acre	"51.507179,-0.127566"		
t17350911-15	Rose and Crown Alehouse in Short's Gardens	"51.50853,-0.12574"		
t17350911-28				
t17350911-29				
t17350911-30				
t17350911-31				
t17350911-32				
t17350911-33				
t17350911-36				
t17350911-39				
t17350911-4				
t17350911-41				
t17350911-43				
t17350911-47				
t17350911-49	Chelsea	"51.487542,-0.16822"		
t17350911-50				
t17350911-57				
t17350911-58				
t17350911-62				
t17350911-63				
t17350911-65				
t17350911-66				
t17350911-67				
t17350911-7				
t17350911-71				
t17350911-73				
t17350911-84				
t17350911-86				
t17350911-9	St. Michael's Alley	"51.50853,-0.12574"		
t17350911-93				
t17350911-95				
t17351015-10				
t17351015-11				
t17351015-13	Fish-street-hill	"51.50853,-0.12574"		
t17351015-2				
t17351015-24				
t17351015-26				
t17351015-3				
t17351015-32				
t17351015-33	Charing Cross	"51.507187,-0.127891"		
t17351015-33	Charing Cross	"51.507187,-0.127891"		
t17351015-36				
t17351015-4				
t17351015-8	Chelsea Fields	"51.41149,-0.17568"		
t17351210-1				
t17351210-10				
t17351210-11				
t17351210-13				
t17351210-14				
t17351210-15				
t17351210-18	Hoxton	"51.532393,-0.086078"		
t17351210-20	Rag-Fair	"51.50853,-0.12574"		
t17351210-21				
t17351210-22				
t17351210-3				
t17351210-31				
t17351210-33				
t17351210-35				
t17351210-4				
t17351210-45				
t17351210-46				
t17351210-48				
t17351210-50				
t17351210-52				
t17351210-59				
t17351210-6				
t17351210-60				
t17351210-61				
t17351210-63				
t17351210-64				
t17351210-65				
t17351210-66				
t17351210-67				
t17351210-68				
t17351210-71				
t17351210-73				
t17351210-75	Princes-street	"51.367636,-0.182745"		
t17351210-8	Hind-Court in Fleet-street	"51.50853,-0.12574"		
t17360115-1	Cornhill	"51.671824,-0.032728"	London	"51.542563,0.000963"
t17360115-1	Cornhill	"51.671824,-0.032728"	London	"51.542563,0.000963"
t17360115-11			Stratford-Bow	"51.530985,-0.012236"
t17360115-12	St. Luke	"51.506658,-0.239903"	"St. Luke, Middlesex"	"51.50853,-0.12574"
t17360115-12	St. Luke	"51.506658,-0.239903"	"St. Luke, Middlesex"	"51.50853,-0.12574"
t17360115-14	Cardigan-Head Tavern	"51.50853,-0.12574"	St. Martin's in the Fields	"51.50853,-0.12574"
t17360115-14	Cardigan-Head Tavern	"51.50853,-0.12574"	St. Martin's in the Fields	"51.50853,-0.12574"
t17360115-15			St. Mary Whitechappel	"51.50853,-0.12574"
t17360115-16			Precinct of St Katherines	"51.50853,-0.12574"
t17360115-17			St. Martins in the Fields	"51.50853,-0.12574"
t17360115-18			St. Clement Danes	"51.513109,-0.113857"
t17360115-20			St. John Wapping	"51.50506,-0.05682"
t17360115-22	Strand	"51.508834,-0.125093"	St. Mary le Strand	"51.512186,-0.116823"
t17360115-22	Strand	"51.508834,-0.125093"	St. Mary le Strand	"51.512186,-0.116823"
t17360115-24			St. Botolph Aldgate	"51.51342,-0.0771"
t17360115-27			"St. Botolph, Bishopsgate"	"51.51635,-0.08144"
t17360115-28				
t17360115-3			St. Leonard East-cheap	"51.50853,-0.12574"
t17360115-30			St. Dunstan's in the East	"51.52332,-0.03888"
t17360115-31	Queen-street	"51.574962,0.176603"	St. Mary le Bow	"51.52609,-0.01665"
t17360115-31	Queen-street	"51.574962,0.176603"	St. Mary le Bow	"51.52609,-0.01665"
t17360115-33				
t17360115-34			Allhallows Barkin	"51.50853,-0.12574"
t17360115-38	Coventry Court	"51.50853,-0.12574"	St. James's Westminster	"51.507908,-0.136573"
t17360115-38	Coventry Court	"51.50853,-0.12574"	St. James's Westminster	"51.507908,-0.136573"
t17360115-39			St. Martins in the Fields	"51.50853,-0.12574"
t17360115-40			St. Mary le Bow in Middlesex	"51.50853,-0.12574"
t17360115-43			"St. Luke, Middlesex"	"51.50853,-0.12574"
t17360115-5	Sun-tavern-fields	"51.50853,-0.12574"	Stepney	"51.50853,-0.12574"
t17360115-5	Sun-tavern-fields	"51.50853,-0.12574"	Stepney	"51.50853,-0.12574"
t17360115-5	Sun-tavern-fields	"51.50853,-0.12574"	Stepney	"51.50853,-0.12574"
t17360115-5	Sun-tavern-fields	"51.50853,-0.12574"	Stepney	"51.50853,-0.12574"
t17360115-5	Sun-tavern-fields	"51.50853,-0.12574"	Stepney	"51.50853,-0.12574"
t17360115-5	Sun-tavern-fields	"51.50853,-0.12574"	Stepney	"51.50853,-0.12574"
t17360115-6	Highgate	"51.574432,-0.152684"	Hornsey	"51.587364,-0.120967"
t17360115-6	Highgate	"51.574432,-0.152684"	Hornsey	"51.587364,-0.120967"
t17360115-7	Good-men's-Fields Play-House	"51.50853,-0.12574"	"St. Mary, Whitechapel"	"51.51382,-0.06583"
t17360115-7	Good-men's-Fields Play-House	"51.50853,-0.12574"	"St. Mary, Whitechapel"	"51.51382,-0.06583"
t17360115-8			"St. Mary, Whitechapel"	"51.51382,-0.06583"
t17360225-1	Allhallows Barkin	"51.50853,-0.12574"		
t17360225-10			St. Martin in the Fields	"51.508824,-0.126659"
t17360225-11	Leather-Lane	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17360225-11	Leather-Lane	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17360225-11	Leather-Lane	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17360225-11	Leather-Lane	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17360225-14	"Sign of the Coach and Horses, at St. Ann's"	"51.50853,-0.12574"	St. Ann Westminster	"51.5,-0.11667"
t17360225-14	"Sign of the Coach and Horses, at St. Ann's"	"51.50853,-0.12574"	St. Ann Westminster	"51.5,-0.11667"
t17360225-15			St. Martin in the Fields	"51.508824,-0.126659"
t17360225-16			St. Martins in the Fields	"51.50853,-0.12574"
t17360225-17	Houndsditch	"51.50853,-0.12574"	"St. Mary Matfelon, otherwise Whitechappel"	"51.50853,-0.12574"
t17360225-17	Houndsditch	"51.50853,-0.12574"	"St. Mary Matfelon, otherwise Whitechappel"	"51.50853,-0.12574"
t17360225-18			St. George Middlesex	"51.50853,-0.12574"
t17360225-19			Eling	"51.50853,-0.12574"
t17360225-2	Cox's Key	"51.50853,-0.12574"	St. Botolph Billingsgate	"51.50853,-0.12574"
t17360225-2	Cox's Key	"51.50853,-0.12574"	St. Botolph Billingsgate	"51.50853,-0.12574"
t17360225-20				
t17360225-21	Exeter Exchange	"51.50853,-0.12574"	St. Mary Whitechappel	"51.50853,-0.12574"
t17360225-21	Exeter Exchange	"51.50853,-0.12574"	St. Mary Whitechappel	"51.50853,-0.12574"
t17360225-26			St. Martins in the Fields	"51.50853,-0.12574"
t17360225-27	Chancery-Lane-End	"51.50853,-0.12574"		
t17360225-29	Cheap side	"51.50853,-0.12574"	"St. Vedast, Foster lane"	"51.50853,-0.12574"
t17360225-29	Cheap side	"51.50853,-0.12574"	"St. Vedast, Foster lane"	"51.50853,-0.12574"
t17360225-3			St. Brides	"51.5138,-0.10576"
t17360225-31			St. Mary Sommerset	"51.50853,-0.12574"
t17360225-33			St. Stephen Coleman Street	"51.51601,-0.08983"
t17360225-35				
t17360225-36			"Christ-Church, Middlesex"	"51.50853,-0.12574"
t17360225-37			St. Clement Danes	"51.513109,-0.113857"
t17360225-38			Finchley	"51.597325,-0.180559"
t17360225-39	Lime-house	"51.50853,-0.12574"		
t17360225-4			St. Andrew Holborn	"51.51718,-0.10695"
t17360225-40			St. Martin in the Fields	"51.508824,-0.126659"
t17360225-41	St. Botolph Aldgate	"51.51342,-0.0771"		
t17360225-43			St. Giles in the Fields	"51.515306,-0.128446"
t17360225-44				
t17360225-46				
t17360225-47				
t17360225-49				
t17360225-5	Minories	"51.510384,-0.073413"	St. Botolph Aldgate	"51.51342,-0.0771"
t17360225-5	Minories	"51.510384,-0.073413"	St. Botolph Aldgate	"51.51342,-0.0771"
t17360225-51				
t17360225-54				
t17360225-55				
t17360225-6			St. Brides	"51.5138,-0.10576"
t17360225-7			St. Gregory's by St. Paul's	"51.50853,-0.12574"
t17360225-9			St. Clement Danes	"51.513109,-0.113857"
t17360505-1	"St. Gregory, by St. Pauls"	"51.50853,-0.12574"		
t17360505-1	"St. Gregory, by St. Pauls"	"51.50853,-0.12574"		
t17360505-1	"St. Gregory, by St. Pauls"	"51.50853,-0.12574"		
t17360505-1	"St. Gregory, by St. Pauls"	"51.50853,-0.12574"		
t17360505-10			St. Mary-Le-Strand	"51.512186,-0.116823"
t17360505-12			Kensington	"51.498995,-0.199123"
t17360505-13			St. James's Clerkenwell	"51.52438,-0.11022"
t17360505-14	St. Michael Cornhill	"51.50853,-0.12574"		
t17360505-14	St. Michael Cornhill	"51.50853,-0.12574"		
t17360505-15	St. Alban Wood-Street	"51.50853,-0.12574"		
t17360505-16	St. Vedast Foster-lane	"51.50853,-0.12574"		
t17360505-17			St. Giles Cripplegate	"51.50853,-0.12574"
t17360505-18	Allhallows London Wall	"51.50853,-0.12574"		
t17360505-19	St. Butolph Bishopsgate	"51.51635,-0.08144"		
t17360505-2			St. Anns Westminster	"51.5,-0.11667"
t17360505-22			St. Mary Hill	"51.50853,-0.12574"
t17360505-26			St. Giles's in the Fields	"51.50853,-0.12574"
t17360505-27			St. Margaret Westminster	"51.499834,-0.126706"
t17360505-28			St. Andrew's Holborn	"51.51753,-0.12045"
t17360505-29			St. Giles's in the Fields	"51.50853,-0.12574"
t17360505-30			St. Andrew's Holborn	"51.51753,-0.12045"
t17360505-31			St. James's Westminster	"51.507908,-0.136573"
t17360505-32			St. Mary Whitechappel	"51.50853,-0.12574"
t17360505-35				
t17360505-39				
t17360505-4			St. Margaret's Westminster	"51.5,-0.11667"
t17360505-40				
t17360505-42				
t17360505-43				
t17360505-44				
t17360505-45				
t17360505-47				
t17360505-49				
t17360505-5			St. Ann's Westminster	"51.5,-0.11667"
t17360505-50				
t17360505-51				
t17360505-52	"James Street, Covent-Garden"	"51.512363,-0.123182"		
t17360505-53				
t17360505-54				
t17360505-56				
t17360505-57				
t17360505-58				
t17360505-62				
t17360505-65				
t17360505-67				
t17360505-7			St. Ann's Westminster	"51.5,-0.11667"
t17360505-70				
t17360505-73				
t17360505-75	Old Bailey	"51.51583,-0.10191"		
t17360505-78				
t17360505-8			St. Clement Danes	"51.513109,-0.113857"
t17360505-80				
t17360505-81				
t17360505-84				
t17360505-88	"St. Dunstan in the West, within the Ward of Farringdon-Without"	"51.50853,-0.12574"		
t17360505-9			St. Botolph Aldgate	"51.51342,-0.0771"
t17360610-1	Woodford in Essex	"51.50853,-0.12574"		
t17360610-10				
t17360610-11				
t17360610-13				
t17360610-15				
t17360610-16				
t17360610-17				
t17360610-18				
t17360610-25				
t17360610-26				
t17360610-28				
t17360610-29				
t17360610-3				
t17360610-30	York-Buildings	"51.508779,-0.123169"		
t17360610-35				
t17360610-37				
t17360610-38				
t17360610-39				
t17360610-41				
t17360610-42				
t17360610-43				
t17360610-44				
t17360610-48	Whitechappel Barrs	"51.50853,-0.12574"		
t17360610-48	Whitechappel Barrs	"51.50853,-0.12574"		
t17360610-49				
t17360610-5				
t17360610-51				
t17360610-52				
t17360610-57				
t17360610-58				
t17360610-6				
t17360610-7				
t17360610-8				
t17360721-10				
t17360721-12				
t17360721-16				
t17360721-17				
t17360721-18				
t17360721-2			St. Botolph Aldgate	"51.51342,-0.0771"
t17360721-20				
t17360721-21				
t17360721-23				
t17360721-24				
t17360721-27				
t17360721-28				
