ID	CRIME_LOCATION	CRIME_LATLONG	DEFENDANT_HOME	DEFENDANT_HOME_LATLONG
t16861208-6			St. Anne Agnes	"51.50853,-0.12574"
t16870114-21			St. Martins in the Fields	"51.50853,-0.12574"
t16870114-4			St. Michael-Bashaw	"51.50853,-0.12574"
t16870114-7			St. Andrews Holbourn alias Ward	"51.50853,-0.12574"
t16870223-19	St. Giles's Cripplegate	"51.50853,-0.12574"		
t16870223-19	St. Giles's Cripplegate	"51.50853,-0.12574"		
t16870223-37	Hill Tavern in Westminster	"51.5,-0.11667"	St. Margaret Westminster	"51.499834,-0.126706"
t16870223-37	Hill Tavern in Westminster	"51.5,-0.11667"	St. Margaret Westminster	"51.499834,-0.126706"
t16870223-6				
t16870406-40			St. Pancrass in the County of Middlesex	"51.50853,-0.12574"
t16870406-43	St. James's Westminster	"51.507908,-0.136573"		
t16870406-46	St. Martins in the Fields	"51.50853,-0.12574"		
t16870512-15	Thistleworth	"51.483484,-0.348995"		
t16870512-24			St. Andrews Holbourn	"51.50853,-0.12574"
t16870512-5	"St. Edmunds the King, in the Ward of Longhorne"	"51.50853,-0.12574"		
t16870701-39	St. Botolphs Aldgate	"51.51342,-0.0771"		
t16870831-43				
t16871012-13	St. Alhollows Barking	"51.50853,-0.12574"		
t16871012-13	St. Alhollows Barking	"51.50853,-0.12574"		
t16871012-25	Thistleworth	"51.483484,-0.348995"		
t16871207-14	St. Andrews Holbourn	"51.50853,-0.12574"		
t16871207-25	Stepney	"51.517402,-0.046219"		
t16871207-25	Stepney	"51.517402,-0.046219"		
t16871207-39				
t16871207-5			St. Dunstans in the West	"51.50853,-0.12574"
t16880222-11			Fulham	"51.474422,-0.206077"
t16880222-13			Stepney	"51.517402,-0.046219"
t16880222-13			Stepney	"51.517402,-0.046219"
t16880222-16			Hornsey	"51.587364,-0.120967"
t16880222-21			St. Matin's in the Fields	"51.50853,-0.12574"
t16880425-17			St. Nicholas Cole-Abby	"51.50853,-0.12574"
t16880425-2	St. Botolph Bishopsgate	"51.51635,-0.08144"		
t16880425-37	St. Giles's Church	"51.50853,-0.12574"		
t16880531-37	Thames	"51.473755,-0.160224"		
t16880711-36				
t16880831-15			St. Andrew's Holbourn	"51.50853,-0.12574"
t16880831-29			St. Giles's in the Fields	"51.50853,-0.12574"
t16880831-4			St. Clement's Danes	"51.50853,-0.12574"
t16881205-19				
t16890516-101				
t16890516-57			St. Andrews Holbourn	"51.50853,-0.12574"
t16890703-32				
t16890703-42				
t16890703-5			St. Mary Aldermary	"51.50853,-0.12574"
t16890828-12	Clements Inn	"51.513729,-0.114796"	St. Clements Danes	"51.50853,-0.12574"
t16890828-12	Clements Inn	"51.513729,-0.114796"	St. Clements Danes	"51.50853,-0.12574"
t16890828-15	Eling	"51.50853,-0.12574"		
t16890828-19				
t16890828-2			St. Andrews Holbourn	"51.50853,-0.12574"
t16890828-21			St. Andrews Holbourn	"51.50853,-0.12574"
t16890828-22				
t16891211-1			St. Alhallows Lumbard street	"51.50853,-0.12574"
t16891211-17				
t16891211-21				
t16891211-23				
t16891211-25				
t16891211-27	Safforn-Hill	"51.50853,-0.12574"		
t16891211-46				
t16891211-48				
t16891211-49				
t16891211-8			Northern-Falgate	"51.50853,-0.12574"
t16900115-11			St. Andrew's Holbourn	"51.50853,-0.12574"
t16900115-31				
t16900226-24				
t16900226-26				
t16900430-13				
t16900430-18				
t16900430-21	Red-Lyon Square	"51.50853,-0.12574"		
t16900430-46				
t16900430-53				
t16900717-6	Edmonton	"51.620339,-0.065979"		
t16900717-9				
t16900903-19				
t16900903-20				
t16900903-34				
t16900903-9				
t16901015-20	West Ham in Essex	"51.50853,-0.12574"		
t16901015-23			Hillingdon	"51.532563,-0.453256"
t16901210-2	St. Sepulchres	"51.50853,-0.12574"		
t16901210-8	St. Pancras	"51.50853,-0.12574"		
t16901210-8	St. Pancras	"51.50853,-0.12574"		
t16910218-18				
t16910218-33			St. James Westminster	"51.507191,-0.132358"
t16910218-36				
t16910218-38				
t16910218-41				
t16910422-14	Fetter-Lane	"51.50853,-0.12574"		
t16910422-30				
t16910422-32	"St. Christophers Parish, near the Exchange"	"51.507265,-0.127833"		
t16910422-49				
t16910708-12				
t16910708-18				
t16910708-20	St. James Clarkenwel	"51.50853,-0.12574"		
t16910708-24	St. Andrews Holburn	"51.50853,-0.12574"		
t16910708-8				
t16910909-52				
t16920115-2	St. Michaels Cornhill	"51.51336,-0.08597"		
t16920115-20	Ratcliff Highway	"51.50853,-0.12574"		
t16920115-4				
t16920115-6	Bishopgate street	"51.50853,-0.12574"		
t16920115-8	St. Andrews Holborn	"51.51753,-0.12045"		
t16920629-1			Little-All-hallows	"51.50853,-0.12574"
t16920629-7	Stepney Parish	"51.50853,-0.12574"		
t16921207-21	without Bishops-gate	"51.50853,-0.12574"		
t16930531-10	Knight-Riders-street	"51.50853,-0.12574"		
t16930713-33				
t16931012-20	St. Botolph's Aldgate	"51.51342,-0.0771"		
t16940418-19				
t16940524-8	Honey-lane Market	"51.50853,-0.12574"		
t16940830-13	White-chappel	"51.50853,-0.12574"		
t16940830-13	White-chappel	"51.50853,-0.12574"		
t16940830-30				
t16940830-7	Ram-Ally	"51.50853,-0.12574"		
t16941010-10				
t16941010-13	Shoe-lane	"51.50853,-0.12574"		
t16941010-2				
t16941010-35	Paternoster-row	"51.624515,0.215002"		
t16941010-36				
t16941010-37				
t16941010-9				
t16951203-2	Star Tavern in White-Fryers	"51.50853,-0.12574"	St. Dunstans in the West	"51.50853,-0.12574"
t16951203-2	Star Tavern in White-Fryers	"51.50853,-0.12574"	St. Dunstans in the West	"51.50853,-0.12574"
t16951203-28			St. Martins Ludgate	"51.50853,-0.12574"
t16951203-42			St. James Clerkenwell	"51.52438,-0.11022"
t16951203-9			St. Buttolph without Algate	"51.50853,-0.12574"
t16960909-1			St. Peters Cornhil	"51.50853,-0.12574"
t16960909-17			Kensington	"51.498995,-0.199123"
t16960909-40			St. James's Westminster	"51.507908,-0.136573"
t16960909-9	Ditton near Uxbridge	"51.54863,-0.48048"	St. Sepulchres	"51.50853,-0.12574"
t16960909-9	Ditton near Uxbridge	"51.54863,-0.48048"	St. Sepulchres	"51.50853,-0.12574"
t16970224-18	the Crown	"51.516817,-0.126344"	St. Giles's in the Fields	"51.50853,-0.12574"
t16970224-18	the Crown	"51.516817,-0.126344"	St. Giles's in the Fields	"51.50853,-0.12574"
t16970224-18	the Crown	"51.516817,-0.126344"	St. Giles's in the Fields	"51.50853,-0.12574"
t16970901-33			South-Mims	"51.50853,-0.12574"
t16970901-42			Whitechappel	"51.50853,-0.12574"
t16970901-55			St. Pauls Shadwell	"51.509403,-0.052039"
t16970901-8			Whitechappel	"51.50853,-0.12574"
t16971208-13	Lamb's-Chappel in the Ward of Cripplegate	"51.50853,-0.12574"		
t16971208-22			St. Mary	"51.476547,-0.175451"
t16971208-23			St. Giles's in the County of Middlesex	"51.50853,-0.12574"
t16971208-38				
t16971208-8			St. Martins in the Fields	"51.50853,-0.12574"
t16980504-20			St. Clements Danes	"51.50853,-0.12574"
t16980504-61			Stepney	"51.517402,-0.046219"
t16980504-61			Stepney	"51.517402,-0.046219"
t16980504-8			St. Buttolphs Aldgate	"51.51342,-0.0771"
t16980608-18			Thistleworth	"51.483484,-0.348995"
t16980720-19			St. James's Liberty of Westminster	"51.5,-0.11667"
t16980720-20			Stepney	"51.517402,-0.046219"
t16980720-20			Stepney	"51.517402,-0.046219"
t16980720-3			St. Butolphs Bishopsgate	"51.51635,-0.08144"
t16980720-34			St. Andrews Holbourn	"51.50853,-0.12574"
t16980720-9				
t16991011-30			St. Martins in the Fields	"51.50853,-0.12574"
t16991011-8			Stepney	"51.517402,-0.046219"
t16991011-8			Stepney	"51.517402,-0.046219"
t16991213-38	Stepney	"51.517402,-0.046219"		
t16991213-38	Stepney	"51.517402,-0.046219"		
t17000828-25			St. Clements Deans	"51.50853,-0.12574"
t17000828-27			St. Margarets Westminster	"51.5,-0.11667"
t17000828-31			St. James Westminster	"51.507191,-0.132358"
t17000828-54			St. Andrews Holborn	"51.51753,-0.12045"
t17000828-63			St. Margets Westminster	"51.5,-0.11667"
t17000828-9			St. Andrews Holborn	"51.51753,-0.12045"
t17180423-11			St. Margaret's Westminster	"51.5,-0.11667"
t17180423-12			St. Margaret's	"51.456709,-0.322412"
t17180423-13			St. Brides	"51.5138,-0.10576"
t17180423-14			St. Mary le Bone	"51.52541,-0.16806"
t17180423-15			St. Helens	"51.518863,-0.218106"
t17180423-16			St. Dunstan's in the West	"51.50853,-0.12574"
t17180423-17			St. Buttolph's Aldgate	"51.51342,-0.0771"
t17180423-19				
t17180423-2			St. Mary Whitechapel	"51.51382,-0.06583"
t17180423-21			St. James's Westminster	"51.507908,-0.136573"
t17180423-23	Enfield	"51.651712,-0.083214"	Enfield	"51.651712,-0.083214"
t17180423-23	Enfield	"51.651712,-0.083214"	Enfield	"51.651712,-0.083214"
t17180423-25				
t17180423-27				
t17180423-31				
t17180423-34			St. John Wapping	"51.50506,-0.05682"
t17180423-35				
t17180423-38			St. Martin in the Fields	"51.508824,-0.126659"
t17180423-44			St. Giles's in the Fields	"51.50853,-0.12574"
t17180423-5			St. Bennets Paules wharf	"51.50853,-0.12574"
t17180423-54			St. Sepulchres	"51.50853,-0.12574"
t17180423-6				
t17180423-7			Hanwel	"51.50853,-0.12574"
t17180423-9			St. James's Clerkenwell	"51.52438,-0.11022"
t17180530-1			Christ Church	"51.506245,-0.105154"
t17180530-10			St. Margaret's Westminster	"51.5,-0.11667"
t17180530-17	Sun-Tavern in Holbourn	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17180530-17	Sun-Tavern in Holbourn	"51.50853,-0.12574"	St. Andrew's Holbourn	"51.50853,-0.12574"
t17180530-19	Ludgate-Hill	"51.51397,-0.10236"	St. Brides	"51.5138,-0.10576"
t17180530-19	Ludgate-Hill	"51.51397,-0.10236"	St. Brides	"51.5138,-0.10576"
t17180530-2			St. Martin's Ludgate	"51.50853,-0.12574"
t17180530-21			St. James's Westminister	"51.50853,-0.12574"
t17180530-25			St. Andrews Holbourn	"51.50853,-0.12574"
t17180530-26			St. Giles in the Fields	"51.515306,-0.128446"
t17180530-28				
t17180530-3			St. Bartholomew the Great	"51.51883,-0.09973"
t17180530-33				
t17180530-4				
t17180530-6			Hillenden	"51.50853,-0.12574"
t17180530-7			St. Giles's in the Fields	"51.50853,-0.12574"
t17180530-9			St. Giles's in the Fields	"51.50853,-0.12574"
t17180709-15			St. Anns Westminster	"51.5,-0.11667"
t17180709-16	Hackney-Church	"51.50853,-0.12574"	Hackney	"51.54324,-0.049362"
t17180709-16	Hackney-Church	"51.50853,-0.12574"	Hackney	"51.54324,-0.049362"
t17180709-18			St. James's Westminster	"51.507908,-0.136573"
t17180709-19			St Dunstan's in the West	"51.50853,-0.12574"
t17180709-2			St. Swithin's	"51.452447,-0.007027"
t17180709-20				
t17180709-21			St. Michael's Cornhill	"51.51336,-0.08597"
t17180709-26			St. Martin's in the Fields	"51.50853,-0.12574"
t17180709-28				
t17180709-29			St. Giles's in the Fields	"51.50853,-0.12574"
t17180709-32	White-Fryers	"51.50853,-0.12574"	St. Dunstan's in the West	"51.50853,-0.12574"
t17180709-32	White-Fryers	"51.50853,-0.12574"	St. Dunstan's in the West	"51.50853,-0.12574"
t17180709-34			St. Giles's Cripplegate	"51.50853,-0.12574"
t17180709-4			St. Dunstan's in the West	"51.50853,-0.12574"
t17180709-6				
t17180709-7			St. Giles's Cripplegate	"51.50853,-0.12574"
t17180709-8			Barnet	"51.648793,-0.172865"
t17180910-1			St. James Westminster	"51.507191,-0.132358"
t17180910-10			St. Michaels Cornhill	"51.51336,-0.08597"
t17180910-11			St. Michaels Queenhithe	"51.50853,-0.12574"
t17180910-14			St. Mary Lothbury	"51.50853,-0.12574"
t17180910-15			Alhallows in the Wall	"51.50853,-0.12574"
t17180910-18			St. Buttolphs Bishops-gate	"51.50853,-0.12574"
t17180910-19			St. Andrews Holbourn	"51.50853,-0.12574"
t17180910-2			St. Martins in the Fields	"51.50853,-0.12574"
t17180910-20	4 swans in Bishops-gate-street	"51.50853,-0.12574"	St. Buttolphs Bishops-gate	"51.50853,-0.12574"
t17180910-20	4 swans in Bishops-gate-street	"51.50853,-0.12574"	St. Buttolphs Bishops-gate	"51.50853,-0.12574"
t17180910-22				
t17180910-23			St. Anns Westminster	"51.5,-0.11667"
t17180910-24			St. Andrew Holbourn	"51.50853,-0.12574"
t17180910-26			St. Sepulchres	"51.50853,-0.12574"
t17180910-27			St. Mary Whitechappel	"51.50853,-0.12574"
t17180910-29			St. James Clerkenwell	"51.52438,-0.11022"
t17180910-3			St. James's Westminster	"51.507908,-0.136573"
t17180910-30			St. Giles in the Fields	"51.515306,-0.128446"
t17180910-31			St. Dunstan's Stepney	"51.516837,-0.041658"
t17180910-32			St. Margaret's Westminster	"51.5,-0.11667"
t17180910-33				
t17180910-34			St. Sepulchres	"51.50853,-0.12574"
t17180910-35			St. Stephen Coleman Street	"51.51601,-0.08983"
t17180910-38			St. Buttolphs Aldgate	"51.51342,-0.0771"
t17180910-4			St. Giles's in the Fields	"51.50853,-0.12574"
t17180910-43	St. Katherines-Lane	"51.50853,-0.12574"	St. Buttolph Aldgate	"51.51342,-0.0771"
t17180910-43	St. Katherines-Lane	"51.50853,-0.12574"	St. Buttolph Aldgate	"51.51342,-0.0771"
t17180910-47			St. Giles's in the Fields	"51.50853,-0.12574"
t17180910-48			St. Buttolphs Aldgate	"51.51342,-0.0771"
t17180910-49			St. Martins in the Fields	"51.50853,-0.12574"
t17180910-5			St. Anns Westminster	"51.5,-0.11667"
t17180910-50			St. Martins in the Fields	"51.50853,-0.12574"
t17180910-51				
t17180910-54			Stepney	"51.517402,-0.046219"
t17180910-54			Stepney	"51.517402,-0.046219"
t17180910-56			St. Sepulchres	"51.50853,-0.12574"
t17180910-57				
t17180910-6			St. Pauls Covent Garden	"51.51424,-0.12471"
t17180910-62			St. Clement-Danes	"51.513109,-0.113857"
t17180910-66			Marybone	"51.50853,-0.12574"
t17180910-68				
t17180910-70			St. Andrews Holbourn	"51.50853,-0.12574"
t17180910-72			St. Giles's Cripplegate	"51.50853,-0.12574"
t17180910-80	between Hounslow and London	"51.50853,-0.12574"		
t17180910-9				
