"PRIMARY_ID","UNIQUE_ID","PLACE_NAME","PLACE_TYPE"
"t17520116-2","t17520116-20-crimeloc110","New-broad-court, Long-acre","crimeLocation"
"t17501017-4","t17501017-4-crimeloc19","Woodstreet, Westminster","crimeLocation"
"t17501017-6","t17501017-6-crimeloc33","Denmark-street","crimeLocation"
"t17501205-13","t17501205-13-crimeloc64","Ratcliff Highway","crimeLocation"
"t17510417-6","t17510417-6-crimeloc31","Golden-cross near Charing-cross","crimeLocation"
"t17510417-65","t17510417-65-crimeloc310","Cornhill","crimeLocation"
"t17510417-6","t17510417-65-crimeloc310","Cornhill","crimeLocation"
"t17510523-1","t17510523-1-crimeloc3","Ralph's key","crimeLocation"
"t17510523-1","t17510523-11-crimeloc63","Aldgate","crimeLocation"
"t17510523-11","t17510523-11-crimeloc63","Aldgate","crimeLocation"
"t17520116-6","t17520116-6-crimeloc39","in Catherine-wheel-yard","crimeLocation"
"t17520116-9","t17520116-9-crimeloc53","Seething-Lane","crimeLocation"
"t17520219-1","t17520219-12-crimeloc54","Ely Court, Holborn","crimeLocation"
"t17520219-12","t17520219-12-crimeloc54","Ely Court, Holborn","crimeLocation"
"t17520219-1","t17520219-13-crimeloc61","Rummer Tavern in Chancery-Lane","crimeLocation"
"t17520219-13","t17520219-13-crimeloc61","Rummer Tavern in Chancery-Lane","crimeLocation"
"t17500425-4","t17500425-4-defloc16","late of Enfield","defendantHome"
"t17501205-14","t17501205-14-crimeloc70","Elder-street, St. Leonard Shore-ditch","crimeLocation"
"t17501205-16","t17501205-16-crimeloc79","corner of Bartletsquare","crimeLocation"
"t17501205-18","t17501205-18-crimeloc91","East Smithfield","crimeLocation"
"t17501205-20","t17501205-20-crimeloc105","Lincoln's Inn","crimeLocation"
"t17501205-25","t17501205-25-crimeloc132","Bishopsgate","crimeLocation"
"t17510523-1","t17510523-18-crimeloc100","King-street Covent-garden","crimeLocation"
"t17510523-18","t17510523-18-crimeloc100","King-street Covent-garden","crimeLocation"
"t17510523-2","t17510523-2-crimeloc10","Aldersgate street","crimeLocation"
"t17510523-2","t17510523-24-crimeloc136","upper Brook-street","crimeLocation"
"t17510523-24","t17510523-24-crimeloc136","upper Brook-street","crimeLocation"
"t17511204-40","t17511204-40-crimeloc235","Harrow on the Hill","crimeLocation"
"t17511204-42","t17511204-42-crimeloc248","Bear and Ragged staff in Smithfield","crimeLocation"
"t17500425-7","t17500425-7-crimeloc34","Powis-wells","crimeLocation"
"t17500530-1","t17500530-1-defloc1","Finchly , Middlesex","defendantHome"
"t17500530-1","t17500530-11-crimeloc56","Harrow","crimeLocation"
"t17500530-11","t17500530-11-crimeloc56","Harrow","crimeLocation"
"t17501205-29","t17501205-29-crimeloc149","Little Moorfields to Moor lane","crimeLocation"
"t17501205-32","t17501205-32-crimeloc163","St. Martin's Lane, at the corner of Chandos street","crimeLocation"
"t17501205-41","t17501205-41-crimeloc205","Change","crimeLocation"
"t17501205-43","t17501205-43-crimeloc216","Cole Harbour","crimeLocation"
"t17510523-27","t17510523-27-crimeloc153","Green Dragon, a public house in Drury-lane","crimeLocation"
"t17510523-2","t17510523-27-crimeloc153","Green Dragon, a public house in Drury-lane","crimeLocation"
"t17510523-2","t17510523-29-crimeloc164","Kentish Town","crimeLocation"
"t17510523-29","t17510523-29-crimeloc164","Kentish Town","crimeLocation"
"t17510523-3","t17510523-3-crimeloc16","Limehouse","crimeLocation"
"t17510523-3","t17510523-30-crimeloc171","Salisbury-street in the Strand","crimeLocation"
"t17510523-30","t17510523-30-crimeloc171","Salisbury-street in the Strand","crimeLocation"
"t17510523-33","t17510523-33-crimeloc191","Thieving-lane, Westminster","crimeLocation"
"t17510523-3","t17510523-33-crimeloc191","Thieving-lane, Westminster","crimeLocation"
"t17510523-45","t17510523-45-crimeloc241","Crown Inn, Holborn","crimeLocation"
"t17520116-21","t17520116-21-crimeloc116","Bell-lane, Spital-fields","crimeLocation"
"t17520116-2","t17520116-21-crimeloc116","Bell-lane, Spital-fields","crimeLocation"
"t17520116-27","t17520116-27-crimeloc147","Cranbourne-Alley","crimeLocation"
"t17520116-2","t17520116-27-crimeloc147","Cranbourne-Alley","crimeLocation"
"t17520116-3","t17520116-3-crimeloc22","Angel and Crown in Hungerford-market","crimeLocation"
"t17520116-36","t17520116-36-crimeloc190","Deptford","crimeLocation"
"t17520116-3","t17520116-36-crimeloc190","Deptford","crimeLocation"
"t17500530-33","t17500530-33-crimeloc156","St. John's, Wapping","crimeLocation"
"t17500530-36","t17500530-36-defloc169","St. Andrew's, Holbourn","defendantHome"
"t17500530-36","t17500530-36-crimeloc172","Chick-lane","crimeLocation"
"t17501205-46","t17501205-46-crimeloc232","Aldermanbury","crimeLocation"
"t17501205-51","t17501205-51-crimeloc256","White Lion-street, by the seven Dials","crimeLocation"
"t17501205-52","t17501205-52-crimeloc263","at the George, Great St. Andrew's-street, near the seven Dials","crimeLocation"
"t17501205-57","t17501205-57-crimeloc285","Hedge lane","crimeLocation"
"t17501205-64","t17501205-64-crimeloc326","the Minories","crimeLocation"
"t17501205-6","t17501205-64-crimeloc326","the Minories","crimeLocation"
"t17510523-49","t17510523-49-crimeloc263","Cheap-side","crimeLocation"
"t17510523-50","t17510523-50-crimeloc269","public-house in Michael's-alley, Cornhill","crimeLocation"
"t17510523-7","t17510523-7-crimeloc42","ship call'd the Friends Glory, a New-Castle collier, lying near Execution-dock","crimeLocation"
"t17510523-8","t17510523-8-crimeloc47","Palentine houses in Newington road","crimeLocation"
"t17510523-9","t17510523-9-crimeloc52","Ship in Gravel-lane Hounsditch","crimeLocation"
"t17520219-25","t17520219-25-crimeloc112","Fleet-market","crimeLocation"
"t17520219-26","t17520219-26-crimeloc118","Ludgate-hill","crimeLocation"
"t17520219-30","t17520219-30-crimeloc138","the King's-Arms Inn by Clare-Market","crimeLocation"
"t17500530-45","t17500530-45-crimeloc200","Leadenhall street","crimeLocation"
"t17500530-6","t17500530-6-crimeloc25","Lillypot-lane , Aldersgate","crimeLocation"
"t17500530-7","t17500530-7-crimeloc32","Snow-hill","crimeLocation"
"t17500530-8","t17500530-8-crimeloc37","by St. Magnus's church, at the bridge foot","crimeLocation"
"t17500530-9","t17500530-9-crimeloc43","Giltspur-street","crimeLocation"
"t17501205-8","t17501205-8-crimeloc33","Billingsgate","crimeLocation"
"t17510703-11","t17510703-11-crimeloc53","Summers Key","crimeLocation"
"t17510703-14","t17510703-14-crimeloc67","new Hermitage-street near Wapping","crimeLocation"
"t17510703-16","t17510703-16-crimeloc78","Leadenhall-street","crimeLocation"
"t17511204-5","t17511204-54-crimeloc308","parish of St. Michael Queenhithe","crimeLocation"
"t17511204-54","t17511204-54-crimeloc308","parish of St. Michael Queenhithe","crimeLocation"
"t17511204-5","t17511204-57-crimeloc322","George in Water-lane Fleet-street","crimeLocation"
"t17511204-57","t17511204-57-crimeloc322","George in Water-lane Fleet-street","crimeLocation"
"t17511204-8","t17511204-8-crimeloc44","Wapping","crimeLocation"
"t17511204-9","t17511204-9-crimeloc51","Halfmoon, in Newgate-street","crimeLocation"
"t17520116-13","t17520116-13-crimeloc74","Webb's-court, Shoreditch","crimeLocation"
"t17500711-1","t17500711-1-crimeloc4","More-fields","crimeLocation"
"t17500711-1","t17500711-14-crimeloc62","Aldgate","crimeLocation"
"t17500711-14","t17500711-14-crimeloc62","Aldgate","crimeLocation"
"t17500711-16","t17500711-16-crimeloc71","Shoreditch","crimeLocation"
"t17500711-1","t17500711-16-crimeloc71","Shoreditch","crimeLocation"
"t17500711-17","t17500711-17-crimeloc77","St. Catharine's lane","crimeLocation"
"t17500711-1","t17500711-17-crimeloc77","St. Catharine's lane","crimeLocation"
"t17510116-10","t17510116-10-crimeloc44","Merchant Taylors-hall in Threadneedle-street","crimeLocation"
"t17510116-1","t17510116-10-crimeloc44","Merchant Taylors-hall in Threadneedle-street","crimeLocation"
"t17510703-23","t17510703-23-crimeloc112","Aldgate High Street","crimeLocation"
"t17510703-26","t17510703-26-crimeloc124","back of Islington church, in the fields","crimeLocation"
"t17520116-37","t17520116-37-crimeloc195","Strand","crimeLocation"
"t17520116-3","t17520116-37-crimeloc195","Strand","crimeLocation"
"t17520116-41","t17520116-41-crimeloc216","Whitegate-Alley","crimeLocation"
"t17520116-42","t17520116-42-crimeloc221","Cornhill","crimeLocation"
"t17520116-5","t17520116-5-crimeloc33","Old-street","crimeLocation"
"t17500711-2","t17500711-21-defloc94","Fulham","defendantHome"
"t17500711-21","t17500711-21-defloc94","Fulham","defendantHome"
"t17500711-2","t17500711-23-crimeloc106","Islington road, Clerkenwell","crimeLocation"
"t17500711-23","t17500711-23-crimeloc106","Islington road, Clerkenwell","crimeLocation"
"t17500711-2","t17500711-27-crimeloc122","Featherstone-street, St. Luke's parish","crimeLocation"
"t17500711-27","t17500711-27-crimeloc122","Featherstone-street, St. Luke's parish","crimeLocation"
"t17500711-30","t17500711-30-crimeloc138","Stepney fields","crimeLocation"
"t17510116-28","t17510116-28-crimeloc135","Hackney","crimeLocation"
"t17510116-2","t17510116-28-crimeloc135","Hackney","crimeLocation"
"t17510703-48","t17510703-48-crimeloc222","upper Brook-street","crimeLocation"
"t17510703-4","t17510703-48-crimeloc222","upper Brook-street","crimeLocation"
"t17510911-11","t17510911-11-crimeloc48","Chelsea","crimeLocation"
"t17511204-23","t17511204-23-crimeloc138","the vessel, called the Sarah and Elizabeth, lying at Wapping-Stairs","crimeLocation"
"t17511204-2","t17511204-23-crimeloc138","the vessel, called the Sarah and Elizabeth, lying at Wapping-Stairs","crimeLocation"
"t17511204-27","t17511204-27-crimeloc157","Abchurch-lane","crimeLocation"
"t17511204-2","t17511204-27-crimeloc157","Abchurch-lane","crimeLocation"
"t17511204-30","t17511204-30-crimeloc174","Middle-street, Cloth-fair, near Smithfield","crimeLocation"
"t17511204-30","t17511204-30-crimeloc182","grocer's shop in Barbican","crimeLocation"
"t17500711-35","t17500711-35-crimeloc158","Long-Acre","crimeLocation"
"t17641212-27","t17641212-27-crimeloc143","Wapping","crimeLocation"
"t17641212-2","t17641212-27-crimeloc143","Wapping","crimeLocation"
"t17641212-28","t17641212-28-crimeloc149","Church-lane","crimeLocation"
"t17641212-2","t17641212-28-crimeloc149","Church-lane","crimeLocation"
"t17650227-44","t17650227-44-crimeloc276","Bow-church, in Cheapside","crimeLocation"
"t17650227-46","t17650227-46-crimeloc287","St. James's-street","crimeLocation"
"t17650227-5","t17650227-5-crimeloc27","Rosemary-lane","crimeLocation"
"t17650227-9","t17650227-9-crimeloc47","Botolph-wharf","crimeLocation"
"t17650710-4","t17650710-42-crimeloc226","Lime-street","crimeLocation"
"t17650710-42","t17650710-42-crimeloc226","Lime-street","crimeLocation"
"t17650710-4","t17650710-43-crimeloc231","Peter-street, Westminster","crimeLocation"
"t17650710-43","t17650710-43-crimeloc231","Peter-street, Westminster","crimeLocation"
"t17650710-4","t17650710-44-crimeloc236","the Queen's Head in Tavistock-Row","crimeLocation"
"t17650710-44","t17650710-44-crimeloc236","the Queen's Head in Tavistock-Row","crimeLocation"
"t17650710-4","t17650710-47-crimeloc255","Ratcliff","crimeLocation"
"t17650710-47","t17650710-47-crimeloc255","Ratcliff","crimeLocation"
"t17650710-4","t17650710-48-crimeloc261","Kensington Gravel-pits","crimeLocation"
"t17650710-48","t17650710-48-crimeloc261","Kensington Gravel-pits","crimeLocation"
"t17640728-45","t17640728-45-crimeloc238","the Swan in Tottenham-court road","crimeLocation"
"t17640728-47","t17640728-47-crimeloc249","Diot-street","crimeLocation"
"t17640728-50","t17640728-50-crimeloc261","the Crown Tavern at Cripplegate","crimeLocation"
"t17641212-32","t17641212-32-crimeloc170","the Barley Mow, in East Smithfield","crimeLocation"
"t17641212-35","t17641212-35-crimeloc187","Great Wild-street","crimeLocation"
"t17641212-37","t17641212-37-crimeloc197","Moorfields","crimeLocation"
"t17641212-41","t17641212-41-crimeloc215","Russel Court","crimeLocation"
"t17650417-1","t17650417-1-crimeloc3","St. Peter's church, Cornhill","crimeLocation"
"t17650417-12","t17650417-12-crimeloc70","Fleet-street","crimeLocation"
"t17650417-1","t17650417-12-crimeloc70","Fleet-street","crimeLocation"
"t17650417-1","t17650417-13-crimeloc77","Wood-street","crimeLocation"
"t17650417-13","t17650417-13-crimeloc77","Wood-street","crimeLocation"
"t17650417-15","t17650417-15-crimeloc88","Bull and Gate-yard","crimeLocation"
"t17650417-1","t17650417-15-crimeloc88","Bull and Gate-yard","crimeLocation"
"t17650710-50","t17650710-50-crimeloc271","Hounslow","crimeLocation"
"t17650710-5","t17650710-50-crimeloc271","Hounslow","crimeLocation"
"t17650710-55","t17650710-55-crimeloc304","Holbourn, at the corner of Leather-lane","crimeLocation"
"t17650710-5","t17650710-55-crimeloc304","Holbourn, at the corner of Leather-lane","crimeLocation"
"t17650710-56","t17650710-56-crimeloc312","Hammersmith","crimeLocation"
"t17650710-5","t17650710-56-crimeloc312","Hammersmith","crimeLocation"
"t17640728-58","t17640728-58-crimeloc291","St. Giles's in the Fields","crimeLocation"
"t17641212-5","t17641212-5-crimeloc26","Clare-market","crimeLocation"
"t17641212-58","t17641212-58-crimeloc306","Great Russel-street, Bloomsbury","crimeLocation"
"t17641212-5","t17641212-58-crimeloc306","Great Russel-street, Bloomsbury","crimeLocation"
"t17650417-19","t17650417-19-crimeloc107","Hide-Street, Bloomsbury","crimeLocation"
"t17650417-1","t17650417-19-crimeloc107","Hide-Street, Bloomsbury","crimeLocation"
"t17650417-23","t17650417-23-crimeloc130","Hog-lane, St. Gyles's","crimeLocation"
"t17650417-2","t17650417-23-crimeloc130","Hog-lane, St. Gyles's","crimeLocation"
"t17650710-57","t17650710-57-crimeloc321","Eight-Bell-yard, St. Giles's.","crimeLocation"
"t17650710-5","t17650710-57-crimeloc321","Eight-Bell-yard, St. Giles's.","crimeLocation"
"t17650710-58","t17650710-58-crimeloc327","Rathbone-place","crimeLocation"
"t17650710-5","t17650710-58-crimeloc327","Rathbone-place","crimeLocation"
"t17650710-6","t17650710-6-crimeloc26","Rotherhithe","crimeLocation"
"t17650710-6","t17650710-60-crimeloc338","Old-street","crimeLocation"
"t17650710-60","t17650710-60-crimeloc338","Old-street","crimeLocation"
"t17650710-63","t17650710-63-crimeloc354","Budge-row","crimeLocation"
"t17650710-6","t17650710-63-crimeloc354","Budge-row","crimeLocation"
"t17640728-61","t17640728-61-crimeloc304","White-Lion-alley","crimeLocation"
"t17640728-6","t17640728-61-crimeloc304","White-Lion-alley","crimeLocation"
"t17640728-9","t17640728-9-crimeloc48","Little Turnstile, Holborn","crimeLocation"
"t17640912-1","t17640912-1-crimeloc3","Fresh-wharf-key","crimeLocation"
"t17641212-59","t17641212-59-crimeloc313","Holywell-street, behind St. Clement's Church","crimeLocation"
"t17641212-5","t17641212-59-crimeloc313","Holywell-street, behind St. Clement's Church","crimeLocation"
"t17641212-70","t17641212-70-crimeloc363","Cheapside","crimeLocation"
"t17641212-71","t17641212-71-crimeloc368","Cloysters, near Smithfield","crimeLocation"
"t17641212-77","t17641212-77-crimeloc393","the Angel in St. Giles's","crimeLocation"
"t17650417-24","t17650417-24-crimeloc139","Hagerstone","crimeLocation"
"t17650417-2","t17650417-24-crimeloc139","Hagerstone","crimeLocation"
"t17650417-25","t17650417-25-crimeloc146","Broker's-Row, Moorefields","crimeLocation"
"t17650417-2","t17650417-25-crimeloc146","Broker's-Row, Moorefields","crimeLocation"
"t17650417-27","t17650417-27-crimeloc157","Barbican","crimeLocation"
"t17650417-2","t17650417-27-crimeloc157","Barbican","crimeLocation"
"t17640912-11","t17640912-11-crimeloc60","register-office window at the corner of St. Dunstan's church","crimeLocation"
"t17640912-1","t17640912-11-crimeloc60","register-office window at the corner of St. Dunstan's church","crimeLocation"
"t17640912-15","t17640912-15-crimeloc81","Lombard-street","crimeLocation"
"t17640912-1","t17640912-15-crimeloc81","Lombard-street","crimeLocation"
"t17640912-17","t17640912-17-crimeloc93","Savoy-barracks","crimeLocation"
"t17640912-1","t17640912-17-crimeloc93","Savoy-barracks","crimeLocation"
"t17641212-81","t17641212-81-crimeloc415","Fleet-market","crimeLocation"
"t17650116-1","t17650116-1-crimeloc3","the Cloysters , West-Smithfield","crimeLocation"
"t17650116-14","t17650116-14-crimeloc76","the Bluecoat-boy , a public-house in Duck-lane","crimeLocation"
"t17650116-1","t17650116-14-crimeloc76","the Bluecoat-boy , a public-house in Duck-lane","crimeLocation"
"t17650116-15","t17650116-15-crimeloc81","Little Moor-fields","crimeLocation"
"t17650116-1","t17650116-15-crimeloc81","Little Moor-fields","crimeLocation"
"t17650116-1","t17650116-19-crimeloc104","Limehouse","crimeLocation"
"t17650116-19","t17650116-19-crimeloc104","Limehouse","crimeLocation"
"t17650417-28","t17650417-28-crimeloc164","Little-Britain","crimeLocation"
"t17650417-2","t17650417-28-crimeloc164","Little-Britain","crimeLocation"
"t17650417-29","t17650417-29-crimeloc169","Galley-key","crimeLocation"
"t17650417-2","t17650417-29-crimeloc169","Galley-key","crimeLocation"
"t17650417-30","t17650417-30-crimeloc174","Little-Britain","crimeLocation"
"t17650417-3","t17650417-30-crimeloc174","Little-Britain","crimeLocation"
"t17650918-23","t17650918-23-crimeloc126","Great Ealing","crimeLocation"
"t17650918-2","t17650918-23-crimeloc126","Great Ealing","crimeLocation"
"t17650918-25","t17650918-25-crimeloc138","Berkley-square","crimeLocation"
"t17650918-2","t17650918-25-crimeloc138","Berkley-square","crimeLocation"
"t17550226-11","t17550226-11-crimeloc61","Ponder's-end","crimeLocation"
"t17550226-1","t17550226-11-crimeloc61","Ponder's-end","crimeLocation"
"t17550910-4","t17550910-4-crimeloc18","Ludgate","crimeLocation"
"t17550910-4","t17550910-40-crimeloc234","St. James's-place","crimeLocation"
"t17550910-40","t17550910-40-crimeloc234","St. James's-place","crimeLocation"
"t17540227-42","t17540227-42-crimeloc222","Hyde Park","crimeLocation"
"t17540227-4","t17540227-42-crimeloc222","Hyde Park","crimeLocation"
"t17540717-3","t17540717-3-crimeloc11","Royal Exchange","crimeLocation"
"t17540717-32","t17540717-32-crimeloc160","Brumpton","crimeLocation"
"t17540717-3","t17540717-32-crimeloc160","Brumpton","crimeLocation"
"t17540717-36","t17540717-36-crimeloc178","the Strand","crimeLocation"
"t17540717-3","t17540717-36-crimeloc178","the Strand","crimeLocation"
"t17550226-11","t17550226-11-crimeloc65","Houndsfields","crimeLocation"
"t17550226-1","t17550226-11-crimeloc65","Houndsfields","crimeLocation"
"t17550226-14","t17550226-14-crimeloc81","Bear-lane, Tower-street","crimeLocation"
"t17550226-1","t17550226-14-crimeloc81","Bear-lane, Tower-street","crimeLocation"
"t17550702-32","t17550702-32-crimeloc166","Queen's-arms-alley","crimeLocation"
"t17550702-3","t17550702-32-crimeloc166","Queen's-arms-alley","crimeLocation"
"t17550702-34","t17550702-34-crimeloc177","Brentford","crimeLocation"
"t17550702-3","t17550702-34-crimeloc177","Brentford","crimeLocation"
"t17550702-35","t17550702-35-crimeloc183","Fenchurch-street","crimeLocation"
"t17550702-3","t17550702-35-crimeloc183","Fenchurch-street","crimeLocation"
"t17540227-4","t17540227-49-crimeloc261","Whitechapel","crimeLocation"
"t17540227-49","t17540227-49-crimeloc261","Whitechapel","crimeLocation"
"t17540717-46","t17540717-46-crimeloc230","Hendon","crimeLocation"
"t17540717-4","t17540717-46-crimeloc230","Hendon","crimeLocation"
"t17540717-48","t17540717-48-crimeloc243","Barnet","crimeLocation"
"t17540717-4","t17540717-48-crimeloc243","Barnet","crimeLocation"
"t17550226-23","t17550226-23-crimeloc125","Hounsditch","crimeLocation"
"t17550910-28","t17550910-28-crimeloc137","Sisner's-key","crimeLocation"
"t17550910-35","t17550910-35-crimeloc177","St. Andrew's church","crimeLocation"
"t17550910-35","t17550910-35-crimeloc178","Fleet-market","crimeLocation"
"t17550910-36","t17550910-36-crimeloc184","Drury-lane","crimeLocation"
"t17550910-37","t17550910-37-crimeloc189","Paul's Wharf","crimeLocation"
"t17540227-5","t17540227-55-crimeloc289","Ludgate-street","crimeLocation"
"t17540227-55","t17540227-55-crimeloc289","Ludgate-street","crimeLocation"
"t17540227-61","t17540227-61-crimeloc315","Castle Inn in Wood-street","crimeLocation"
"t17540227-64","t17540227-64-crimeloc331","Bull Inn in Leadenhall-street","crimeLocation"
"t17540717-5","t17540717-53-crimeloc265","Stanmore","crimeLocation"
"t17540717-53","t17540717-53-crimeloc265","Stanmore","crimeLocation"
"t17540717-5","t17540717-54-crimeloc271","Mimms Wask","crimeLocation"
"t17540717-54","t17540717-54-crimeloc271","Mimms Wask","crimeLocation"
"t17540717-9","t17540717-9-crimeloc40","Codpiss-Row, Clerkenwell","crimeLocation"
"t17540911-10","t17540911-10-crimeloc53","the Bell Inn in Warwick-lane","crimeLocation"
"t17540911-11","t17540911-11-crimeloc59","Summer's-key near Billingsgate","crimeLocation"
"t17550226-31","t17550226-31-crimeloc168","Arlington-street","crimeLocation"
"t17550226-4","t17550226-4-crimeloc19","Russel-court","crimeLocation"
"t17550226-41","t17550226-41-crimeloc220","river Thames","crimeLocation"
"t17550226-4","t17550226-41-crimeloc220","river Thames","crimeLocation"
"t17551022-12","t17551022-12-crimeloc61","Bishopsgate","crimeLocation"
"t17551022-13","t17551022-13-crimeloc68","King-street, St. James's","crimeLocation"
"t17540227-65","t17540227-65-crimeloc339","Hackney","crimeLocation"
"t17540424-1","t17540424-1-crimeloc3","Fleet-street","crimeLocation"
"t17540424-11","t17540424-11-crimeloc57","Wardour-Street","crimeLocation"
"t17540424-1","t17540424-11-crimeloc57","Wardour-Street","crimeLocation"
"t17540424-12","t17540424-12-crimeloc61","Lincoln's-Inn-Fields","crimeLocation"
"t17540424-1","t17540424-12-crimeloc61","Lincoln's-Inn-Fields","crimeLocation"
"t17540911-13","t17540911-13-crimeloc73","the Green Dragon, Fleet-street","crimeLocation"
"t17540911-18","t17540911-18-crimeloc96","Lumbert Court","crimeLocation"
"t17540911-22","t17540911-22-crimeloc118","Oxford-road","crimeLocation"
"t17550226-4","t17550226-44-crimeloc238","Prince's-street","crimeLocation"
"t17550226-44","t17550226-44-crimeloc238","Prince's-street","crimeLocation"
"t17550702-6","t17550702-6-crimeloc29","Stanmore","crimeLocation"
"t17550910-1","t17550910-1-crimeloc3","Lothbury","crimeLocation"
"t17550910-1","t17550910-11-crimeloc45","Hospital-gate, Smithfield","crimeLocation"
"t17550910-11","t17550910-11-crimeloc45","Hospital-gate, Smithfield","crimeLocation"
"t17550910-1","t17550910-12-crimeloc50","Middle-row, St. Giles's","crimeLocation"
"t17550910-12","t17550910-12-crimeloc50","Middle-row, St. Giles's","crimeLocation"
"t17550910-14","t17550910-14-crimeloc60","Ricelup-Common","crimeLocation"
"t17550910-1","t17550910-14-crimeloc60","Ricelup-Common","crimeLocation"
"t17540424-17","t17540424-17-crimeloc83","James-Street, in St. Margaret's parish, Westminster","crimeLocation"
"t17540424-1","t17540424-17-crimeloc83","James-Street, in St. Margaret's parish, Westminster","crimeLocation"
"t17540424-1","t17540424-19-crimeloc94","Old-Bailey-Gate","crimeLocation"
"t17540424-19","t17540424-19-crimeloc94","Old-Bailey-Gate","crimeLocation"
"t17540424-23","t17540424-23-crimeloc111","the Black Horse in Barbican","crimeLocation"
"t17540911-23","t17540911-23-crimeloc129","Leather Lane","crimeLocation"
"t17540911-25","t17540911-25-crimeloc142","Portland-street, Mary-le-bon parish","crimeLocation"
"t17540911-26","t17540911-26-crimeloc148","the Red-Cross, at Charing-Cross","crimeLocation"
"t17540911-27","t17540911-27-crimeloc153","Finch-lane, Cornhill","crimeLocation"
"t17550226-4","t17550226-48-crimeloc259","Queen's-head, Queen-street, Cheapside","crimeLocation"
"t17550226-48","t17550226-48-crimeloc259","Queen's-head, Queen-street, Cheapside","crimeLocation"
"t17550910-38","t17550910-38-crimeloc199","Fetter-lane","crimeLocation"
"t17550910-38","t17550910-38-crimeloc206","Boswel court , St. Martin's in the fields","crimeLocation"
"t17550910-38","t17550910-38-crimeloc213","Charles-street","crimeLocation"
"t17540424-3","t17540424-3-crimeloc13","Cavendish-square","crimeLocation"
"t17540424-30","t17540424-30-crimeloc146","Whitechapel","crimeLocation"
"t17540424-3","t17540424-30-crimeloc146","Whitechapel","crimeLocation"
"t17540424-34","t17540424-34-crimeloc171","St. Martin's Church","crimeLocation"
"t17540424-3","t17540424-34-crimeloc171","St. Martin's Church","crimeLocation"
"t17540911-29","t17540911-29-crimeloc163","Star Alley, Benchurch Street","crimeLocation"
"t17540911-3","t17540911-3-crimeloc16","Summers's Key","crimeLocation"
"t17540911-3","t17540911-30-crimeloc170","Hanover-square","crimeLocation"
"t17540911-30","t17540911-30-crimeloc170","Hanover-square","crimeLocation"
"t17540911-3","t17540911-33-crimeloc186","St. Ann's, Oxford-Road","crimeLocation"
"t17540911-33","t17540911-33-crimeloc186","St. Ann's, Oxford-Road","crimeLocation"
"t17550226-7","t17550226-7-crimeloc37","Goswel-street","crimeLocation"
"t17550409-1","t17550409-1-crimeloc3","Watling-street","crimeLocation"
"t17550515-4","t17550515-4-crimeloc17","St. Paul's Church-yard","crimeLocation"
"t17550515-5","t17550515-5-crimeloc22","Fleet-street","crimeLocation"
"t17550702-1","t17550702-1-crimeloc3","the King's-bench, Guildhall","crimeLocation"
"t17550702-1","t17550702-16-crimeloc73","Vigo-lane","crimeLocation"
"t17550702-16","t17550702-16-crimeloc73","Vigo-lane","crimeLocation"
"t17550702-18","t17550702-18-crimeloc89","White-chapel road","crimeLocation"
"t17550702-1","t17550702-18-crimeloc89","White-chapel road","crimeLocation"
"t17540424-37","t17540424-37-crimeloc189","Lincoln's-inn-fields playhouse","crimeLocation"
"t17540424-3","t17540424-37-crimeloc189","Lincoln's-inn-fields playhouse","crimeLocation"
"t17540424-4","t17540424-40-crimeloc208","Minories","crimeLocation"
"t17540424-40","t17540424-40-crimeloc208","Minories","crimeLocation"
"t17540424-4","t17540424-42-crimeloc221","Knightsbridge","crimeLocation"
"t17540424-42","t17540424-42-crimeloc221","Knightsbridge","crimeLocation"
"t17540911-3","t17540911-37-crimeloc207","Isleworth","crimeLocation"
"t17540911-37","t17540911-37-crimeloc207","Isleworth","crimeLocation"
"t17540911-4","t17540911-4-crimeloc22","Lombard-Street","crimeLocation"
"t17540911-5","t17540911-5-crimeloc27","Red-Lion Street, Holbourn","crimeLocation"
"t17550409-11","t17550409-11-crimeloc63","Balsover-street, Oxford-road","crimeLocation"
"t17550409-1","t17550409-11-crimeloc63","Balsover-street, Oxford-road","crimeLocation"
"t17550409-15","t17550409-15-crimeloc83","St. Martin's court","crimeLocation"
"t17550409-1","t17550409-15-crimeloc83","St. Martin's court","crimeLocation"
"t17550409-23","t17550409-23-crimeloc127","White-horse-alley, Cow-cross","crimeLocation"
"t17531205-5","t17531205-50-crimeloc245","Nightingale-lane, St. John's, Wapping","crimeLocation"
"t17531205-50","t17531205-50-crimeloc245","Nightingale-lane, St. John's, Wapping","crimeLocation"
"t17531205-5","t17531205-51-crimeloc250","Vine-street in the Minories","crimeLocation"
"t17531205-51","t17531205-51-crimeloc250","Vine-street in the Minories","crimeLocation"
"t17531205-5","t17531205-57-crimeloc276","Parkers-lane Drury-lane","crimeLocation"
"t17531205-57","t17531205-57-crimeloc276","Parkers-lane Drury-lane","crimeLocation"
"t17531205-5","t17531205-59-crimeloc288","East Barnet","crimeLocation"
"t17531205-59","t17531205-59-crimeloc288","East Barnet","crimeLocation"
"t17540424-4","t17540424-44-crimeloc232","Park-street, Westminster","crimeLocation"
"t17540424-44","t17540424-44-crimeloc232","Park-street, Westminster","crimeLocation"
"t17540424-4","t17540424-45-crimeloc240","St. George Hanover-square","crimeLocation"
