"Latitude","Longitude","Place_name"
"51.374872","-0.021212","Hawkhurst in Kent, London, England"
"51.379073","-0.155187","the Savoy, London, England"
"51.38093","-0.02975","Old Bedlam, London, England"
"51.38093","-0.02975","Old-Bedlam, London, England"
"51.381893","-0.098031","Newgate, London, England"
"51.382028","-0.08471","Philip, London, England"
"51.384239","-0.117067","Canterbury, London, England"
"51.386376","-0.158713","Queen's Head, London, England"
"51.386574","-0.1971","Love-lane, London, England"
"51.386874","-0.101077","Bell-court, London, England"
"51.387664","0.109495","Kent-road, London, England"
"51.389686","-0.293013","Castle, London, England"
"51.392202","-0.310939","Thames Ditton, London, England"
"51.392272","-0.204201","St. Lawrence, London, England"
"51.392502","-0.199959","Denmark Court, in the Strand, London, England"
"51.392746","-0.199739","Denmark-court, London, England"
"51.393276","-0.017837","St. Martin's Lane End, London, England"
"51.394966","0.115803","Conway-court, London, England"
"51.395262","-0.254725","parish of St. James, London, England"
"51.39668","0.024218","Devonshire-square, London, England"
"51.398014","-0.070908","John-street, London, England"
"51.398095","-0.076822","Norwood, London, England"
"51.398423","-0.298525","3 Cranes, London, England"
"51.399004","-0.073898","No. 1, Portland-place, London, England"
"51.399004","-0.073898","No. 47, Portland-place, London, England"
"51.402805","0.014814","Bromley, London, England"
"51.403172","-0.337004","Fountain-court, London, England"
"51.403684","-0.337699","Hampton Court Palace, London, England"
"51.405801","-0.164079","Mitcham, London, England"
"51.405829","0.015266","East-street, London, England"
"51.40606","0.01519","Charles-street, Bromley, London, England"
"51.40606","0.01519","Rose and Crown public-house at Bromley, London, England"
"51.40606","0.01519","St. Leonard Bromley, London, England"
"51.406961","-0.017831","Chancery-lane, in the City, London, England"
"51.408948","-0.112823","Buckingham-Gardens, London, England"
"51.409008","-0.305754","Eden-street, London, England"
"51.410523","0.024844","Henry-street, London, England"
"51.41095","0.074609","Church-row, London, England"
"51.411422","-0.174929","Chelsea-Fields, London, England"
"51.41149","-0.17568","Chelsea Fields, London, England"
"51.412427","-0.301155","No. 41 Wood Street, London, England"
"51.412734","-0.361368","Thames Street, London, England"
"51.412734","-0.361368","Thames street, London, England"
"51.413233","-0.364263","Thames-street, London, England"
"51.413233","-0.364263","Thames-Street, London, England"
"51.41334","-0.36701","the Black-Horse at Hampton, London, England"
"51.415027","-0.369141","Hampton, London, England"
"51.416609","-0.054928","St John the Evangelist, London, England"
"51.416609","-0.054928","St. John Evangelist, London, England"
"51.416609","-0.054928","St. John the Evangelist, London, England"
"51.417364","-0.288651","Park-road, London, England"
"51.417721","-0.167335","North-place, London, England"
"51.417922","-0.057701","Montague mews, London, England"
"51.417922","-0.057701","Montague-mews, London, England"
"51.417976","-0.080793","Stoney Lane, London, England"
"51.419008","0.021916","Milk-street, London, England"
"51.419008","0.021916","Milk-Street, London, England"
"51.419788","0.021874","Milk street, London, England"
"51.422978","-0.160094","Amen Corner, London, England"
"51.423588","-0.35976","Park-place, London, England"
"51.424781","-0.405393","Staines, London, England"
"51.425537","-0.188971","Regent-place, London, England"
"51.426129","-0.330219","Field Lane, London, England"
"51.426129","-0.330219","Field lane, London, England"
"51.427784","-0.333653","Teddington, London, England"
"51.427933","-0.058118","St. Bartholomew's, London, England"
"51.428314","-0.011219","St. John Baptist, London, England"
"51.428407","-0.039193","Castle-court, London, England"
"51.428936","-0.150184","Church-Lane, London, England"
"51.428936","-0.150184","No. 12, Church-lane, London, England"
"51.431665","-0.958125","Lamb-Inn near St. Clements Church, London, England"
"51.431665","-0.958125","near Wapping Church, London, England"
"51.431665","-0.958125","the Coach and Horses near the New Church, London, England"
"51.431665","-0.958125","the corner of Mark-lane, near Alhallows Church, London, England"
"51.432232","-0.064392","Rosamond-street, London, England"
"51.432267","-0.103409","St Luke's, London, England"
"51.432267","-0.103409","St. Luke's, London, England"
"51.434848","-0.390361","Hanworth, London, England"
"51.436181","-0.305055","New Inn, London, England"
"51.438233","0.153251","Huntington, London, England"
"51.438735","-0.420754","St. Dunstan's Church, London, England"
"51.438735","-0.420754","St. Dunstan's church, London, England"
"51.439342","-0.397512","Hanworth-park, London, England"
"51.441879","-0.084324","Dulwich, London, England"
"51.443381","-0.057496","the Hermitage, London, England"
"51.444002","-0.191194","St. Gregory's, London, England"
"51.444223","-0.410659","Feltham, London, England"
"51.44501","-0.124872","Crown and Sceptre, London, England"
"51.445493","0.011383","St. Mildred's church, London, England"
"51.4462","-0.41388","the Parish of Feltham, London, England"
"51.446621","-0.165185","Nightingale Lane, London, England"
"51.446621","-0.165185","Nightingale lane, London, England"
"51.446794","-0.328339","Twickenham, London, England"
"51.446911","-0.164904","Nightingale-Lane, London, England"
"51.446911","-0.164904","Nightingale-lane, London, England"
"51.447053","0.047911","Palace-yard, London, England"
"51.448108","-0.322367","Sion, London, England"
"51.449782","-0.30633","River Thames, London, England"
"51.449782","-0.30633","river Thames, London, England"
"51.452171","-0.293293","Bishopsgate, London, England"
"51.452447","-0.007027","St. Swithin's, London, England"
"51.452626","-0.440386","Longleat, London, England"
"51.453068","-0.433441","Bedfont, London, England"
"51.453225","0.191652","Maiden-lane, London, England"
"51.454188","-0.333922","All Hallows, London, England"
"51.454824","-0.377953","Hounslow heath, London, England"
"51.454824","-0.377953","Hounslow Heath, London, England"
"51.454824","-0.377953","Hounslow-heath, London, England"
"51.455196","0.15297","Watling-Street, London, England"
"51.455196","0.15297","Watling-street, London, England"
"51.455261","0.153199","No. 85, Watling-street, London, England"
"51.455261","0.153199","Watling Street, London, England"
"51.455261","0.153199","Watling street, London, England"
"51.456709","-0.322412","St. Margaret's, London, England"
"51.456746","-0.08989","St. Faiths, London, England"
"51.457367","-0.129005","King's Mews, London, England"
"51.458633","-0.310514","River Thames, London, England"
"51.45945","-0.306297","Hill-street, London, England"
"51.459488","-0.306197","48, Red-lion-street, London, England"
"51.459577","-0.306252","No. 5, Red-lion-street, London, England"
"51.459577","-0.306252","Red Lion Street, London, England"
"51.459577","-0.306252","Red lion street, London, England"
"51.459577","-0.306252","Red-lion-street, London, England"
"51.459622","-0.304531","Red Lion-street, London, England"
"51.459978","-0.011756","watch-house, London, England"
"51.460094","0.002609","No. 14, Fludyer-street, London, England"
"51.460116","-0.182665","57, Bartholomew-close, London, England"
"51.46028","-0.305435","George-street, St. Margaret's, London, England"
"51.460305","-0.182563","Bartholomew close, London, England"
"51.460305","-0.182563","Bartholomew Close, London, England"
"51.460305","-0.182563","Bartholomew-Close, London, England"
"51.460305","-0.182563","Bartholomew-close, London, England"
"51.461353","-0.303277","Richmond, London, England"
"51.461723","-0.296808","Red Cow, London, England"
"51.462311","-0.302786","No. 27. Quadrant, London, England"
"51.462542","-0.112049","Elephant, London, England"
"51.462552","-0.216746","Putney, London, England"
"51.463864","-0.090004","Cross-court, London, England"
"51.464585","-0.21861","Jolly Gardeners, London, England"
"51.464936","-0.380526","Ivy-lane, London, England"
"51.464936","-0.380526","Ivy-Lane, London, England"
"51.465316","0.186314","Sun-court, London, England"
"51.465619","-0.209719","Fulham-bridge, London, England"
"51.465914","-0.071149","Wingfield-street, London, England"
"51.46593","-0.10652","South Island-place, Brixton, London, England"
"51.465939","-0.298372","Blue Anchor-alley, London, England"
"51.466349","0.008539","Blackheath, London, England"
"51.4672","-0.295887","Christchurch, London, England"
"51.467244","-0.387827","Hounslow barracks, London, England"
"51.467259","-0.220064","Half-moon, London, England"
"51.467458","-0.053868","St. Thomas the Apostle, London, England"
"51.467458","-0.053868","St. Thomas-the-Apostle, London, England"
"51.467458","-0.053868","Thomas Apostle, London, England"
"51.468356","-0.326311","Isleworth, London, England"
"51.46839","-0.36092","Hanworth, about three miles from Hounslow, London, England"
"51.468397","-0.269985","35, Rosemary-lane, London, England"
"51.468397","-0.269985","No. 67, Rosemary-lane, London, England"
"51.468397","-0.269985","Rosemary Lane, London, England"
"51.468397","-0.269985","Rosemary-Lane, London, England"
"51.468397","-0.269985","Rosemary-lane, London, England"
"51.468543","-0.324515","South-street, London, England"
"51.468613","-0.361347","Hounslow, London, England"
"51.469376","-0.284235","Hester, London, England"
"51.469645","-0.071129","4, Middle Scotland yard, near Whitehall, London, England"
"51.469645","-0.323282","Northumberland House, London, England"
"51.469875","-0.210032","the Golden Lion, London, England"
"51.470752","-0.366936","Bulstrode, London, England"
"51.471351","-0.112861","Crown and Anchor, London, England"
"51.471896","-0.238744","Barnes, London, England"
"51.472066","0.159192","York-terrace, London, England"
"51.472987","-0.166241","Banbury-street, London, England"
"51.473023","-0.086886","St. Giles' church, London, England"
"51.473212","-0.247512","Sun-square, London, England"
"51.473412","-0.069932","Peckham, London, England"
"51.473467","0.058621","Brompton-terrace, London, England"
"51.473735","-0.093347","Duke's Place, London, England"
"51.473735","-0.093347","Duke's-Place, London, England"
"51.473735","-0.093347","Duke's-place, London, England"
"51.473735","-0.093347","Dukes'-place, London, England"
"51.473735","-0.093347","Dukes-Place, London, England"
"51.473755","-0.160224","Thames, London, England"
"51.474422","-0.206077","Fulham, London, England"
"51.474571","-0.092541","Camberwell, London, England"
"51.474581","-0.381267","Charles-street, London, England"
"51.47518","-0.34246","Brentford End, in Isleworth, London, England"
"51.47518","-0.34246","Hilton, in the parish of Isleworth, London, England"
"51.47518","-0.34246","St. Mary, Isleworth, London, England"
"51.475305","-0.201108","Parson's Green, London, England"
"51.475519","-0.360106","White Bear, London, England"
"51.475845","-0.021516","Deptford, London, England"
"51.476547","-0.175451","St. Mary, London, England"
"51.477002","-0.011015","No. 10, Circus-street, London, England"
"51.477107","-0.006442","May's-buildings, London, England"
"51.477286","-0.285367","Layton, London, England"
"51.477323","-0.089223","Hopewell, London, England"
"51.47769","-0.30517","a Lighter in the River of Thames, London, England"
"51.47769","-0.30517","barge on the river Thames, London, England"
"51.47769","-0.30517","Chelsea, on the river Thames, London, England"
"51.47769","-0.30517","lying on the river Thames, London, England"
"51.47769","-0.30517","River of Thames, London, England"
"51.47785","-0.01176","wharf at Greenwich, London, England"
"51.47785","-0.12351","South Lambeth, London, England"
"51.479385","-0.018717","Deptford-creek, London, England"
"51.479867","-0.491364","King's Arms, London, England"
"51.480143","-0.171608","Battersea-bridge, London, England"
"51.48026","-0.1993","Carpernter's-row, Walham-green, in the parish of Fulham, London, England"
"51.48026","-0.1993","Crown, North-end, Fulham, London, England"
"51.48026","-0.1993","Hammersmith, in the parish of Fulham, London, England"
"51.48026","-0.1993","King's Arms, at Fulham, London, England"
"51.48026","-0.1993","late of Fulham, London, England"
"51.48026","-0.1993","North End, in the parish of Fulham, London, England"
"51.48026","-0.1993","North-end, Fulham, London, England"
"51.48026","-0.1993","Rectory-house, Parson's Green, Fulham, London, England"
"51.48026","-0.1993","Sand-end, Fulham, London, England"
"51.48026","-0.1993","Wheatsheaf public-house, at Percy's-cross, near Fulham, London, England"
"51.480441","-0.026941","Hyde-street, London, England"
"51.480448","-0.040784","Marchant-street, London, England"
"51.480605","-0.030208","Edward-street, London, England"
"51.480832","0.078975","Star Inn, London, England"
"51.481343","-0.195037","Walham-green, London, England"
"51.482084","-0.004542","Greenwich, London, England"
"51.482201","-0.31519","Field-Lane, London, England"
"51.482201","-0.31519","Field-lane, London, England"
"51.482578","0.072723","Rose court, London, England"
"51.482578","0.072723","Rose-court, London, England"
"51.482605","0.036536","Charlton, London, England"
"51.48267","0.062334","Woolwich, London, England"
"51.482695","-0.182179","Chelsea Common, London, England"
"51.482695","-0.182179","Chelsea-common, London, England"
"51.48281","-0.311047","Brentford lock, London, England"
"51.483364","-0.088018","No. 67, Portland-street, London, England"
"51.483364","-0.088018","Portland-street, London, England"
"51.483454","-0.088144","Portland street, London, England"
"51.483484","-0.348995","Thistleworth, London, England"
"51.483581","-0.492747","Stanwell, London, England"
"51.483975","-0.289717","Kew-green, London, England"
"51.484403","0.006461","Tyler-street, London, England"
"51.48458","-0.14995","Queen's head Chelsea bridge, London, England"
"51.484871","-0.201881","Fullham, London, England"
"51.485142","-0.182457","Westminster hospital, London, England"
"51.48515","-0.324966","New Brentford, London, England"
"51.48515","-0.324966","new Brentford, London, England"
