Latitude	Longitude	Place_name
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.50853	-0.12574	"St. Clement's Danes, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Mary Aldermary, London, England"
51.50853	-0.12574	"St. Clements Danes, London, England"
51.513729	-0.114796	"Clements Inn, London, England"
51.50853	-0.12574	"Eling, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.50853	-0.12574	"St. Clements Danes, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.51342	-0.0771	"St. Buttolphs Aldgate, London, England"
51.483484	-0.348995	"Thistleworth, London, England"
51.5	-0.11667	"St. James's Liberty of Westminster, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.51635	-0.08144	"St. Butolphs Bishopsgate, London, England"
51.620339	-0.065979	"Edmonton, London, England"
51.50853	-0.12574	"West Ham in Essex, London, England"
51.532563	-0.453256	"Hillingdon, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"St. Mary Islingtone, London, England"
51.532121	-0.125863	"St. Pancras, London, England"
51.507191	-0.132358	"St. James Westminster, London, England"
51.50853	-0.12574	"Fetter-Lane, London, England"
51.507265	-0.127833	"St. Christophers Parish, near the Exchange, London, England"
51.50853	-0.12574	"St. James Clarkenwel, London, England"
51.50853	-0.12574	"St. Andrews Holburn, London, England"
51.51336	-0.08597	"St. Michaels Cornhill, London, England"
51.50853	-0.12574	"Ratcliff Highway, London, England"
51.50853	-0.12574	"Ratcliff Highway, London, England"
51.50853	-0.12574	"Bishopgate street, London, England"
51.51753	-0.12045	"St. Andrews Holborn, London, England"
51.50853	-0.12574	"Little-All-hallows, London, England"
51.50853	-0.12574	"Stepney Parish, London, England"
51.50853	-0.12574	"without Bishops-gate, London, England"
51.50853	-0.12574	"Knight-Riders-street, London, England"
51.51342	-0.0771	"St. Botolph's Aldgate, London, England"
51.50853	-0.12574	"Honey-lane Market, London, England"
