OFFENCE_CAT,OFFENCE_SUBCAT,COUNT(A.OFFENCE_SUBCAT),,,Offense,Sub Category,No.,%,,Sub Category,No.,%,,Crime Category,No.,%,,Crime Category,No.,%
theft,mail,84,,,,mail,84,0.11%,,,,,,,,,,,,
theft,other,594,,,,other,594,0.81%,,,,,,,,,,,,
theft,pettyLarceny,367,,,,pettyLarceny,367,0.50%,,,,,,,,,,,,
theft,pocketpicking,8001,,,,pocketpicking,8001,10.89%,,,,,,,,,,,,
theft,receiving,1106,,,,receiving,1106,1.51%,,,,,,,,,,,,
theft,robbery,93,,,,robbery,93,0.13%,,,,,,,,,,,,
theft,shoplifting,925,,,,shoplifting,925,1.26%,,,,,,,,,,,,
theft,simpleLarceny,4623,,,,simpleLarceny,4623,6.29%,,,,,,,,,,,,
theft,stealingFromMaster,530,,,,stealingFromMaster,530,0.72%,,,,,,,,,,,,
theft,theftFromPlace,3179,,,,theftFromPlace,3179,4.33%,,,,,,,,,,,,
violentTheft,highwayRobbery,388,,,violentTheft,highwayRobbery,388,0.53%,,,,,,,,,,,,
violentTheft,other,1,,,,other,1,0.00%,,,,,,,,,,,,
violentTheft,robbery,331,,,,robbery,331,0.45%,,,,,,,,,,,,
,,,,,Total,,73451,100.00%,,,,,,,,,,,,
