"PRIMARY_ID","BREAKING_PEACE","DAMAGE","DECEPTION","KILL","MISC","ROYAL_OFFENCES","SEXUAL","THEFT","VIOLENT_THEFT"
"t16860414-14","0","0","0","0","0","0","0","1","0"
"t16860520-13","0","0","0","0","0","0","0","1","0"
"t16860520-16","0","0","0","0","0","0","0","1","0"
"t16860520-3","0","0","0","0","0","0","0","1","0"
"t16860707-19","0","0","0","0","0","0","0","1","0"
"t16860707-23","0","0","0","0","0","0","0","1","0"
"t16860707-7","0","0","0","0","0","0","0","1","0"
"t16860901-18","0","0","0","0","0","0","0","1","0"
"t16860901-2","0","0","0","0","0","0","0","1","0"
"t16861013-10","0","0","0","0","0","0","0","1","0"
"t16861013-4","0","0","0","0","0","0","0","1","0"
"t16861208-25","0","0","0","0","0","0","0","1","0"
"t16861208-6","0","0","0","0","0","0","0","1","0"
"t16870114-21","0","0","0","0","0","0","0","1","0"
"t16870114-4","0","0","0","0","0","0","0","1","0"
"t16870114-7","0","0","0","0","0","0","0","1","0"
"t16870223-19","0","0","0","0","0","0","0","1","0"
"t16870223-37","0","0","0","0","0","0","0","1","0"
"t16870223-6","0","0","0","0","0","0","0","1","0"
"t16870406-40","0","0","0","0","0","0","0","1","0"
"t16870406-43","0","0","0","0","0","0","0","1","0"
"t16870406-46","0","0","0","0","0","0","0","1","0"
"t16870512-15","0","0","0","0","0","0","0","1","0"
"t16870512-24","0","0","0","0","0","0","0","1","0"
"t16870512-5","0","0","0","0","0","0","0","1","0"
"t16870701-39","0","0","0","0","0","0","0","1","0"
"t16870831-43","0","0","0","0","0","0","0","1","0"
"t16871012-13","0","0","0","0","0","0","0","1","0"
"t16871012-25","0","0","0","0","0","0","0","1","0"
"t16871207-14","0","0","0","0","0","0","0","1","0"
"t16871207-25","0","0","0","0","0","0","0","1","0"
"t16871207-39","0","0","0","0","0","0","0","1","0"
"t16871207-5","0","0","0","0","0","0","0","1","0"
"t16880222-11","0","0","0","0","0","0","0","1","0"
"t16880222-13","0","0","0","0","0","0","0","1","0"
"t16880222-16","0","0","0","0","0","0","0","1","0"
"t16880222-21","0","0","0","0","0","0","0","1","0"
"t16880425-17","0","0","0","0","0","0","0","1","0"
"t16880425-2","0","0","0","0","0","0","0","1","0"
"t16880425-37","0","0","0","0","0","0","0","1","0"
"t16880531-37","0","0","0","0","0","0","0","1","0"
"t16880711-36","0","0","0","0","0","0","0","1","0"
"t16880831-15","0","0","0","0","0","0","0","1","0"
"t16880831-29","0","0","0","0","0","0","0","1","0"
"t16880831-4","0","0","0","0","0","0","0","1","0"
"t16881205-19","0","0","0","0","0","0","0","1","0"
"t16890516-101","0","0","0","0","0","0","0","1","0"
"t16890516-57","0","0","0","0","0","0","0","1","0"
"t16890703-32","0","0","0","0","0","0","0","1","0"
"t16890703-42","0","0","0","0","0","0","0","1","0"
"t16890703-5","0","0","0","0","0","0","0","1","0"
"t16890828-12","0","0","0","0","0","0","0","1","0"
"t16890828-15","0","0","0","0","0","0","0","1","0"
"t16890828-19","0","0","0","0","0","0","0","1","0"
"t16890828-2","0","0","0","0","0","0","0","1","0"
"t16890828-21","0","0","0","0","0","0","0","1","0"
"t16890828-22","0","0","0","0","0","0","0","1","0"
"t16891211-1","0","1","0","0","0","0","0","0","0"
"t16891211-17","0","0","0","0","0","0","0","1","0"
"t16891211-21","0","0","0","0","0","0","0","1","0"
"t16891211-23","0","0","0","0","0","0","0","1","0"
"t16891211-25","0","0","0","0","0","0","0","1","0"
"t16891211-27","0","0","0","0","0","0","0","1","0"
"t16891211-46","0","0","0","0","0","0","0","1","0"
"t16891211-48","0","0","0","0","0","0","0","1","0"
"t16891211-49","0","0","0","0","0","0","0","1","0"
"t16891211-8","0","0","0","0","0","0","0","1","0"
"t16900115-11","0","0","0","0","0","0","0","1","0"
"t16900115-31","0","0","0","0","0","0","0","1","0"
"t16900226-24","0","0","0","0","0","0","0","1","0"
"t16900226-26","0","0","0","0","0","0","0","1","0"
"t16900430-13","0","0","0","0","0","0","0","1","0"
"t16900430-18","0","0","0","0","0","0","0","1","0"
"t16900430-21","0","0","0","0","0","0","0","1","0"
"t16900430-46","0","0","0","0","0","0","0","1","0"
"t16900430-53","0","0","0","0","0","0","0","1","0"
"t16900717-6","0","0","0","0","0","0","0","1","0"
"t16900717-9","0","0","0","0","0","0","0","1","0"
"t16900903-19","0","0","0","0","0","0","0","1","0"
"t16900903-20","0","0","0","0","0","0","0","1","0"
"t16900903-34","0","0","0","0","0","0","0","1","0"
"t16900903-9","0","0","0","0","0","0","0","1","0"
"t16901015-20","0","0","0","0","0","0","0","1","0"
"t16901015-23","0","0","0","0","0","0","0","1","0"
"t16901210-2","0","0","0","0","0","0","0","1","0"
"t16901210-8","0","0","0","0","0","0","0","1","0"
"t16910218-18","0","0","0","0","0","0","0","1","0"
"t16910218-33","0","0","0","0","0","0","0","1","0"
"t16910218-36","0","0","0","0","0","0","0","1","0"
"t16910218-38","0","0","0","0","0","0","0","1","0"
"t16910218-41","0","0","0","0","0","0","0","1","0"
"t16910422-14","0","0","0","0","0","0","0","1","0"
"t16910422-30","0","0","0","0","0","0","0","1","0"
"t16910422-32","0","0","0","0","0","0","0","1","0"
"t16910422-49","0","0","0","0","0","0","0","1","0"
"t16910708-12","0","0","0","0","0","0","0","1","0"
"t16910708-18","0","0","0","0","0","0","0","1","0"
"t16910708-20","0","0","0","0","0","0","0","1","0"
"t16910708-24","0","0","0","0","0","0","0","1","0"
"t16910708-8","0","0","0","0","0","0","0","1","0"
"t16910909-52","0","0","0","0","0","0","0","1","0"
"t16920115-2","0","0","0","0","0","0","0","1","0"
"t16920115-20","0","0","0","0","0","0","0","1","0"
"t16920115-4","0","0","0","0","0","0","0","1","0"
"t16920115-6","0","0","0","0","0","0","0","1","0"
"t16920115-8","0","0","0","0","0","0","0","1","0"
"t16920629-1","0","0","0","0","0","0","0","1","0"
"t16920629-7","0","0","0","0","0","0","0","0","1"
"t16921207-21","0","0","0","0","0","0","0","1","0"
"t16930531-10","0","0","0","0","0","0","0","1","0"
"t16930713-33","0","0","0","0","0","0","0","1","0"
"t16931012-20","0","0","0","0","0","0","0","1","0"
"t16940418-19","0","0","0","0","0","0","0","1","0"
"t16940524-8","0","0","0","0","0","0","0","1","0"
"t16940830-13","0","0","0","0","0","0","0","1","0"
"t16940830-30","0","0","0","0","0","0","0","1","0"
"t16940830-7","0","0","0","0","0","0","0","1","0"
"t16941010-10","0","0","0","0","0","0","0","1","0"
"t16941010-13","0","0","0","0","0","0","0","1","0"
"t16941010-2","0","0","0","0","0","0","0","1","0"
"t16941010-35","0","0","0","0","0","0","0","1","0"
"t16941010-36","0","0","0","0","0","0","0","1","0"
"t16941010-37","0","0","0","0","0","0","0","1","0"
"t16941010-9","0","0","0","0","0","0","0","1","0"
"t16951203-2","0","0","0","0","0","0","0","1","0"
"t16951203-28","0","0","0","0","0","0","0","1","0"
"t16951203-42","0","0","0","0","0","0","0","0","1"
"t16951203-9","0","0","0","0","0","0","0","1","0"
"t16960909-1","0","0","0","0","0","0","0","1","0"
"t16960909-17","0","0","0","0","0","0","0","1","0"
"t16960909-40","0","0","0","0","0","0","0","1","0"
"t16960909-9","0","0","0","0","0","0","0","1","0"
"t16970224-18","0","0","0","0","0","0","0","1","0"
"t16970901-33","0","0","0","0","0","0","0","1","0"
"t16970901-42","0","0","0","0","0","0","0","1","0"
"t16970901-55","0","0","0","0","0","0","0","1","0"
"t16970901-8","0","0","0","0","0","0","0","0","1"
"t16971208-13","0","0","0","0","0","0","1","0","0"
"t16971208-22","0","0","0","0","0","0","0","1","0"
"t16971208-23","0","0","0","0","0","0","0","1","0"
"t16971208-38","0","0","0","0","0","0","0","1","0"
"t16971208-8","0","0","0","0","0","0","0","1","0"
"t16980504-20","0","0","0","0","0","0","0","1","0"
"t16980504-61","0","0","0","0","0","0","0","1","0"
"t16980504-8","0","0","0","0","0","0","0","1","0"
"t16980608-18","0","0","0","0","0","0","0","1","0"
"t16980720-19","0","0","0","0","0","0","0","1","0"
"t16980720-20","0","0","0","0","0","0","0","1","0"
"t16980720-3","0","0","0","0","0","0","0","1","0"
"t16980720-34","0","0","0","0","0","0","0","1","0"
"t16980720-9","0","0","0","0","0","0","0","1","0"
"t16991011-30","0","0","0","0","0","0","0","1","0"
"t16991011-8","0","0","0","0","0","0","0","1","0"
"t16991213-38","0","0","0","0","0","0","0","1","0"
"t17000828-25","0","0","0","0","0","0","0","1","0"
"t17000828-27","0","0","0","0","0","0","0","1","0"
"t17000828-31","0","0","0","0","0","0","0","1","0"
"t17000828-54","0","0","0","0","0","0","0","1","0"
"t17000828-63","0","0","0","0","0","0","0","0","1"
"t17000828-9","0","0","0","0","0","0","0","1","0"
"t17180423-11","0","0","0","0","0","0","0","1","0"
"t17180423-12","0","0","0","0","0","0","0","1","0"
"t17180423-13","0","0","0","0","0","0","0","1","0"
"t17180423-14","0","0","0","0","0","0","0","1","0"
"t17180423-15","0","0","0","0","0","0","0","1","0"
"t17180423-16","0","0","0","0","0","0","0","1","0"
"t17180423-17","0","0","0","0","0","0","0","1","0"
"t17180423-19","0","0","0","0","0","0","0","1","0"
"t17180423-2","0","0","0","0","0","0","0","1","0"
"t17180423-21","0","0","0","0","0","0","0","1","0"
"t17180423-23","0","0","0","0","0","0","0","1","0"
"t17180423-25","0","0","0","0","0","0","0","1","0"
"t17180423-27","0","0","0","0","0","0","0","1","0"
"t17180423-31","0","0","0","0","0","0","0","1","0"
"t17180423-34","0","0","0","0","0","0","0","1","0"
"t17180423-35","0","0","0","0","0","0","0","1","0"
"t17180423-38","0","0","0","0","0","0","0","1","0"
"t17180423-44","0","0","0","0","0","0","0","1","0"
"t17180423-5","0","0","0","0","0","0","0","1","0"
"t17180423-54","0","0","0","0","0","0","0","1","0"
"t17180423-6","0","0","0","0","0","0","0","1","0"
"t17180423-7","0","0","0","0","0","0","0","1","0"
"t17180423-9","0","0","0","0","0","0","0","1","0"
"t17180530-1","0","0","0","0","0","0","0","1","0"
"t17180530-10","0","0","0","0","0","0","0","1","0"
"t17180530-17","0","0","0","0","0","0","0","1","0"
"t17180530-19","0","0","0","0","0","0","0","1","0"
"t17180530-2","0","0","0","0","0","0","0","1","0"
"t17180530-21","0","0","0","0","0","0","0","1","0"
"t17180530-25","0","0","0","0","0","0","0","1","0"
"t17180530-26","0","0","0","0","0","0","0","1","0"
"t17180530-28","0","0","0","0","0","0","0","1","0"
"t17180530-3","0","0","0","0","0","0","0","1","0"
"t17180530-33","0","0","0","0","0","0","0","1","0"
"t17180530-4","0","0","0","0","0","0","0","1","0"
"t17180530-6","0","0","0","0","0","0","0","1","0"
"t17180530-7","0","0","0","0","0","0","0","1","0"
"t17180530-9","0","0","0","0","0","0","0","1","0"
"t17180709-15","0","0","0","0","0","0","0","1","0"
"t17180709-16","0","0","0","0","0","0","0","1","0"
"t17180709-18","0","0","0","0","0","0","0","1","0"
"t17180709-19","0","0","0","0","0","0","0","1","0"
"t17180709-2","0","0","0","0","0","0","0","1","0"
"t17180709-20","0","0","0","0","0","0","0","1","0"
"t17180709-21","0","0","0","0","0","0","0","1","0"
"t17180709-26","0","0","0","0","0","0","0","1","0"
"t17180709-28","0","0","0","0","0","0","0","1","0"
"t17180709-29","0","0","0","0","0","0","0","1","0"
"t17180709-32","0","0","0","0","0","0","0","1","0"
"t17180709-34","0","0","0","0","0","0","0","1","0"
"t17180709-4","0","0","0","0","0","0","0","1","0"
"t17180709-6","0","0","0","0","0","0","0","1","0"
"t17180709-7","0","0","0","0","0","0","0","1","0"
"t17180709-8","0","0","0","0","0","0","0","1","0"
"t17180910-1","0","0","0","0","0","0","0","1","0"
"t17180910-10","0","0","0","0","0","0","0","1","0"
"t17180910-11","0","0","0","0","0","0","0","1","0"
