ID,CRIME_LOCATION,DEFENDANT_HOME
t16910708-24,St. Andrews Holburn,
t16910708-8,,
t16910909-52,,
t16920115-2,St. Michaels Cornhill,
t16920115-20,Ratcliff Highway,
t16920115-4,,
t16920115-6,Bishopgate street,
t16920115-8,St. Andrews Holborn,
t16920629-1,,Little-All-hallows
t16920629-7,Stepney Parish,
t16921207-21,without Bishops-gate,
t16930531-10,Knight-Riders-street,
t16930713-33,,
t16931012-20,St. Botolph's Aldgate,
t16940418-19,,
t16940524-8,Honey-lane Market,
t16940830-13,White-chappel,
t16940830-13,White-chappel,
t16940830-30,,
t16940830-7,Ram-Ally,
t16941010-10,,
t16941010-13,Shoe-lane,
t16941010-2,,
t16941010-35,Paternoster-row,
t16941010-36,,
t16941010-37,,
t16941010-9,,
t16951203-2,Star Tavern in White-Fryers,St. Dunstans in the West
t16951203-2,Star Tavern in White-Fryers,St. Dunstans in the West
t16951203-28,,St. Martins Ludgate
t16951203-42,,St. James Clerkenwell
t16951203-9,,St. Buttolph without Algate
t16960909-1,,St. Peters Cornhil
t16960909-17,,Kensington
t16960909-40,,St. James's Westminster
t16960909-9,Ditton near Uxbridge,St. Sepulchres
t16960909-9,Ditton near Uxbridge,St. Sepulchres
t16970224-18,the Crown,St. Giles's in the Fields
t16970224-18,the Crown,St. Giles's in the Fields
t16970224-18,the Crown,St. Giles's in the Fields
t16970901-33,,South-Mims
t16970901-42,,Whitechappel
t16970901-55,,St. Pauls Shadwell
t16970901-8,,Whitechappel
t16971208-13,Lamb's-Chappel in the Ward of Cripplegate,
t16971208-22,,St. Mary
t16971208-23,,St. Giles's in the County of Middlesex
t16971208-38,,
t16971208-8,,St. Martins in the Fields
t16980504-20,,St. Clements Danes
t16980504-61,,Stepney
t16980504-61,,Stepney
t16980504-8,,St. Buttolphs Aldgate
t16980608-18,,Thistleworth
t16980720-19,,St. James's Liberty of Westminster
t16980720-20,,Stepney
t16980720-20,,Stepney
t16980720-3,,St. Butolphs Bishopsgate
t16980720-34,,St. Andrews Holbourn
t16980720-9,,
t16991011-30,,St. Martins in the Fields
t16991011-8,,Stepney
t16991011-8,,Stepney
t16991213-38,Stepney,
t16991213-38,Stepney,
t17000828-25,,St. Clements Deans
t17000828-27,,St. Margarets Westminster
t17000828-31,,St. James Westminster
t17000828-54,,St. Andrews Holborn
t17000828-63,,St. Margets Westminster
t17000828-9,,St. Andrews Holborn
t17180423-11,,St. Margaret's Westminster
t17180423-12,,St. Margaret's
t17180423-13,,St. Brides
t17180423-14,,St. Mary le Bone
t17180423-15,,St. Helens
t17180423-16,,St. Dunstan's in the West
t17180423-17,,St. Buttolph's Aldgate
t17180423-19,,
t17180423-2,,St. Mary Whitechapel
t17180423-21,,St. James's Westminster
t17180423-23,Enfield,Enfield
t17180423-23,Enfield,Enfield
t17180423-25,,
t17180423-27,,
t17180423-31,,
t17180423-34,,St. John Wapping
t17180423-35,,
t17180423-38,,St. Martin in the Fields
t17180423-44,,St. Giles's in the Fields
t17180423-5,,St. Bennets Paules wharf
t17180423-54,,St. Sepulchres
t17180423-6,,
t17180423-7,,Hanwel
t17180423-9,,St. James's Clerkenwell
t17180530-1,,Christ Church
t17180530-10,,St. Margaret's Westminster
t17180530-17,Sun-Tavern in Holbourn,St. Andrew's Holbourn
t17180530-17,Sun-Tavern in Holbourn,St. Andrew's Holbourn
t17180530-19,Ludgate-Hill,St. Brides
t17180530-19,Ludgate-Hill,St. Brides
t17180530-2,,St. Martin's Ludgate
t17180530-21,,St. James's Westminister
t17180530-25,,St. Andrews Holbourn
t17180530-26,,St. Giles in the Fields
t17180530-28,,
t17180530-3,,St. Bartholomew the Great
t17180530-33,,
t17180530-4,,
t17180530-6,,Hillenden
t17180530-7,,St. Giles's in the Fields
t17180530-9,,St. Giles's in the Fields
t17180709-15,,St. Anns Westminster
t17180709-16,Hackney-Church,Hackney
t17180709-16,Hackney-Church,Hackney
t17180709-18,,St. James's Westminster
t17180709-19,,St Dunstan's in the West
t17180709-2,,St. Swithin's
t17180709-20,,
t17180709-21,,St. Michael's Cornhill
t17180709-26,,St. Martin's in the Fields
t17180709-28,,
t17180709-29,,St. Giles's in the Fields
t17180709-32,White-Fryers,St. Dunstan's in the West
t17180709-32,White-Fryers,St. Dunstan's in the West
t17180709-34,,St. Giles's Cripplegate
t17180709-4,,St. Dunstan's in the West
t17180709-6,,
t17180709-7,,St. Giles's Cripplegate
t17180709-8,,Barnet
t17180910-1,,St. James Westminster
t17180910-10,,St. Michaels Cornhill
t17180910-11,,St. Michaels Queenhithe
t17180910-14,,St. Mary Lothbury
t17180910-15,,Alhallows in the Wall
t17180910-18,,St. Buttolphs Bishops-gate
t17180910-19,,St. Andrews Holbourn
t17180910-2,,St. Martins in the Fields
t17180910-20,4 swans in Bishops-gate-street,St. Buttolphs Bishops-gate
t17180910-20,4 swans in Bishops-gate-street,St. Buttolphs Bishops-gate
t17180910-22,,
t17180910-23,,St. Anns Westminster
t17180910-24,,St. Andrew Holbourn
t17180910-26,,St. Sepulchres
t17180910-27,,St. Mary Whitechappel
t17180910-29,,St. James Clerkenwell
t17180910-3,,St. James's Westminster
t17180910-30,,St. Giles in the Fields
t17180910-31,,St. Dunstan's Stepney
t17180910-32,,St. Margaret's Westminster
t17180910-33,,
t17180910-34,,St. Sepulchres
t17180910-35,,St. Stephen Coleman Street
t17180910-38,,St. Buttolphs Aldgate
t17180910-4,,St. Giles's in the Fields
t17180910-43,St. Katherines-Lane,St. Buttolph Aldgate
t17180910-43,St. Katherines-Lane,St. Buttolph Aldgate
t17180910-47,,St. Giles's in the Fields
t17180910-48,,St. Buttolphs Aldgate
t17180910-49,,St. Martins in the Fields
t17180910-5,,St. Anns Westminster
t17180910-50,,St. Martins in the Fields
t17180910-51,,
t17180910-54,,Stepney
t17180910-54,,Stepney
t17180910-56,,St. Sepulchres
t17180910-57,,
t17180910-6,,St. Pauls Covent Garden
t17180910-62,,St. Clement-Danes
t17180910-66,,Marybone
t17180910-68,,
t17180910-70,,St. Andrews Holbourn
t17180910-72,,St. Giles's Cripplegate
t17180910-80,between Hounslow and London,
t17180910-9,,
t17181015-13,St. James's Park,
t17181015-19,,St. Giles's Cripplegate
t17181015-22,,Stepney
t17181015-22,,Stepney
t17181015-24,,St. Michaels Cornhill
t17181015-3,,St. Mary White-Chappel
t17181015-30,,Fulham
t17181015-35,,
t17181015-37,,St. Sepulchres
t17181205-11,,St. Dunstans Stepney
t17181205-12,,St. Dunstans Stepney
t17181205-13,,St. Buttolphs Aldgate
