"ID","DATESTAMP"
"t17700711-30","7/11/1770"
"t17710116-24","1/16/1771"
"t17710410-32","4/10/1771"
"t17710410-37","4/10/1771"
"t17700711-34","7/11/1770"
"t17710410-43","4/10/1771"
"t17691018-29","10/18/1769"
"t17691018-41","10/18/1769"
"t17691018-42","10/18/1769"
"t17680907-36","9/7/1768"
"t17680907-37","9/7/1768"
"t17690510-50","5/10/1769"
"t17691018-43","10/18/1769"
"t17691018-5","10/18/1769"
"t17691018-6","10/18/1769"
"t17691018-8","10/18/1769"
"t17690112-42","1/12/1769"
"t17690112-44","1/12/1769"
"t17690628-16","6/28/1769"
"t17690628-26","6/28/1769"
"t17691206-22","12/6/1769"
"t17690112-51","1/12/1769"
"t17690628-32","6/28/1769"
"t17690628-39","6/28/1769"
"t17690222-28","2/22/1769"
"t17681019-17","10/19/1768"
"t17690628-65","6/28/1769"
"t17681019-24","10/19/1768"
"t17690222-53","2/22/1769"
"t17690906-100","9/6/1769"
"t17700221-27","2/21/1770"
"t17690222-8","2/22/1769"
"t17700117-21","1/17/1770"
"t17700117-25","1/17/1770"
"t17690405-14","4/5/1769"
"t17690405-17","4/5/1769"
"t17690906-39","9/6/1769"
"t17690405-25","4/5/1769"
"t17690405-32","4/5/1769"
"t17690405-43","4/5/1769"
"t17690405-9","4/5/1769"
"t17690906-85","9/6/1769"
"t17690112-1","1/12/1769"
"t17690510-23","5/10/1769"
"t17690510-24","5/10/1769"
"t17690510-25","5/10/1769"
"t17690510-31","5/10/1769"
"t17690510-35","5/10/1769"
"t17691018-24","10/18/1769"
"t17691018-28","10/18/1769"
"t17690510-4","5/10/1769"
"t17730908-55","9/8/1773"
"t17721209-33","12/9/1772"
"t17721209-39","12/9/1772"
"t17721209-20","12/9/1772"
"t17730908-75","9/8/1773"
"t17721209-42","12/9/1772"
"t17730217-64","2/17/1773"
"t17730217-65","2/17/1773"
"t17721209-58","12/9/1772"
"t17721209-7","12/9/1772"
"t17730421-1","4/21/1773"
"t17730626-50","6/26/1773"
"t17730626-55","6/26/1773"
"t17721209-75","12/9/1772"
"t17721209-82","12/9/1772"
"t17730421-18","4/21/1773"
"t17731020-35","10/20/1773"
"t17721209-93","12/9/1772"
"t17721209-97","12/9/1772"
"t17730421-3","4/21/1773"
"t17731208-51","12/8/1773"
"t17730707-33","7/7/1773"
"t17730707-35","7/7/1773"
"t17730707-4","7/7/1773"
"t17731208-75","12/8/1773"
"t17730421-76","4/21/1773"
"t17731020-61","10/20/1773"
"t17731020-62","10/20/1773"
"t17730113-54","1/13/1773"
"t17730113-55","1/13/1773"
"t16800226-5","2/26/1680"
"t16830524-4","5/24/1683"
"t16830712-17","7/12/1683"
"t16831212-23","12/12/1683"
"t16840702-20","7/2/1684"
"t16841008-6","10/8/1684"
"t16850116-18","1/16/1685"
"t16850225-10","2/25/1685"
"t16850429-20","4/29/1685"
"t16850429-40","4/29/1685"
"t16850604-25","6/4/1685"
"t16850716-7","7/16/1685"
"t16860114-1","1/14/1686"
"t16860224-11","2/24/1686"
"t16860414-1","4/14/1686"
"t16891211-17","12/11/1689"
"t16891211-25","12/11/1689"
"t16900430-21","4/30/1690"
"t16861208-6","12/8/1686"
"t16870512-24","5/12/1687"
"t16871012-25","10/12/1687"
"t16890516-101","5/16/1689"
"t16980504-20","5/4/1698"
"t16980608-18","6/8/1698"
"t16900717-9","7/17/1690"
"t16900903-9","9/3/1690"
"t16910218-18","2/18/1691"
"t16910422-14","4/22/1691"
"t16910909-52","9/9/1691"
"t16920629-7","6/29/1692"
"t16930713-33","7/13/1693"
"t16940524-8","5/24/1694"
"t16960909-9","9/9/1696"
"t16970224-18","2/24/1697"
"t16971208-38","12/8/1697"
"t17180709-26","7/9/1718"
"t17000828-54","8/28/1700"
"t17180423-12","4/23/1718"
"t17180423-2","4/23/1718"
"t17180423-23","4/23/1718"
"t17180423-27","4/23/1718"
"t17181205-46","12/5/1718"
"t17180910-24","9/10/1718"
"t17180910-35","9/10/1718"
"t17180910-51","9/10/1718"
"t17180910-62","9/10/1718"
"t17180910-80","9/10/1718"
"t17181015-35","10/15/1718"
"t17181205-3","12/5/1718"
"t17181205-5","12/5/1718"
"t17181205-50","12/5/1718"
"t17190115-11","1/15/1719"
"t17190115-34","1/15/1719"
"t17190225-2","2/25/1719"
"t17190903-36","9/3/1719"
"t17190408-44","4/8/1719"
"t17190514-38","5/14/1719"
"t17190708-1","7/8/1719"
"t17190903-1","9/3/1719"
"t17191204-41","12/4/1719"
"t17190903-44","9/3/1719"
"t17191014-15","10/14/1719"
"t17191204-11","12/4/1719"
"t17191204-12","12/4/1719"
"t17191204-16","12/4/1719"
"t17191204-27","12/4/1719"
"t17191204-3","12/4/1719"
"t17191204-36","12/4/1719"
"t17200427-65","4/27/1720"
"t17200427-9","4/27/1720"
"t17200115-33","1/15/1720"
"t17200303-10","3/3/1720"
"t17200303-39","3/3/1720"
"t17200303-7","3/3/1720"
"t17200907-52","9/7/1720"
"t17200907-55","9/7/1720"
"t17200602-40","6/2/1720"
"t17200712-13","7/12/1720"
"t17200712-19","7/12/1720"
"t17200712-25","7/12/1720"
"t17200712-31","7/12/1720"
"t17200907-13","9/7/1720"
"t17200907-25","9/7/1720"
"t17210301-11","3/1/1721"
"t17210301-13","3/1/1721"
"t17201012-30","10/12/1720"
"t17201207-2","12/7/1720"
"t17201207-21","12/7/1720"
"t17201207-33","12/7/1720"
"t17201207-4","12/7/1720"
"t17201207-40","12/7/1720"
"t17201207-8","12/7/1720"
"t17210113-25","1/13/1721"
"t17210419-34","4/19/1721"
"t17210301-30","3/1/1721"
"t17210301-31","3/1/1721"
"t17210301-32","3/1/1721"
"t17210301-33","3/1/1721"
"t17210301-34","3/1/1721"
"t17210301-48","3/1/1721"
"t17210301-49","3/1/1721"
"t17210419-14","4/19/1721"
"t17210419-19","4/19/1721"
"t17210830-29","8/30/1721"
"t17210830-3","8/30/1721"
"t17210525-54","5/25/1721"
"t17210712-36","7/12/1721"
"t17210712-38","7/12/1721"
"t17210830-14","8/30/1721"
"t17211206-59","12/6/1721"
"t17211206-60","12/6/1721"
"t17211206-79","12/6/1721"
"t17210830-35","8/30/1721"
"t17210830-6","8/30/1721"
"t17211206-38","12/6/1721"
"t17220404-4","4/4/1722"
"t17220112-32","1/12/1722"
