"ID","DATESTAMP"
"t18021027-8","10/27/1802"
"t18030420-105","4/20/1803"
"t18020714-7","7/14/1802"
"t18020714-75","7/14/1802"
"t18020714-76","7/14/1802"
"t18030914-84","9/14/1803"
"t18030914-92","9/14/1803"
"t18020714-90","7/14/1802"
"t18020918-126","9/18/1802"
"t18040111-16","1/11/1804"
"t18020918-129","9/18/1802"
"t18020918-141","9/18/1802"
"t18021201-46","12/1/1802"
"t18021201-50","12/1/1802"
"t18030420-3","4/20/1803"
"t18020918-15","9/18/1802"
"t18020918-155","9/18/1802"
"t18020918-157","9/18/1802"
"t18030420-52","4/20/1803"
"t18031026-7","10/26/1803"
"t18040111-22","1/11/1804"
"t18040111-26","1/11/1804"
"t18030420-87","4/20/1803"
"t18031026-48","10/26/1803"
"t18031026-50","10/26/1803"
"t18020918-35","9/18/1802"
"t18020918-37","9/18/1802"
"t18020918-40","9/18/1802"
"t18030112-26","1/12/1803"
"t18030112-27","1/12/1803"
"t18030112-3","1/12/1803"
"t18031130-12","11/30/1803"
"t18030112-59","1/12/1803"
"t18030525-22","5/25/1803"
"t18020918-72","9/18/1802"
"t18030525-31","5/25/1803"
"t18030525-52","5/25/1803"
"t18030525-53","5/25/1803"
"t18031130-36","11/30/1803"
"t18030216-47","2/16/1803"
"t18030706-3","7/6/1803"
"t18030914-99","9/14/1803"
"t18031026-11","10/26/1803"
"t18020428-95","4/28/1802"
"t18030706-64","7/6/1803"
"t18030706-68","7/6/1803"
"t18010520-8","5/20/1801"
"t18011202-74","12/2/1801"
"t18020113-23","1/13/1802"
"t18000917-33","9/17/1800"
"t18010114-62","1/14/1801"
"t18010114-7","1/14/1801"
"t18000917-53","9/17/1800"
"t18010114-79","1/14/1801"
"t18010218-1","2/18/1801"
"t18000917-62","9/17/1800"
"t18010218-2","2/18/1801"
"t18010218-21","2/18/1801"
"t18010218-27","2/18/1801"
"t18000917-99","9/17/1800"
"t18001029-16","10/29/1800"
"t18001029-19","10/29/1800"
"t18010218-59","2/18/1801"
"t18010916-103","9/16/1801"
"t18020217-45","2/17/1802"
"t18001029-34","10/29/1800"
"t18010218-74","2/18/1801"
"t18010916-129","9/16/1801"
"t18010916-130","9/16/1801"
"t18010916-35","9/16/1801"
"t18010916-37","9/16/1801"
"t18010415-132","4/15/1801"
"t18010415-145","4/15/1801"
"t18020428-59","4/28/1802"
"t18020428-61","4/28/1802"
"t18010415-25","4/15/1801"
"t18010916-76","9/16/1801"
"t18010916-9","9/16/1801"
"t18010916-98","9/16/1801"
"t18001203-33","12/3/1800"
"t18011028-31","10/28/1801"
"t18020428-23","4/28/1802"
"t18020428-3","4/28/1802"
"t18020428-32","4/28/1802"
"t18011028-52","10/28/1801"
"t18011028-55","10/28/1801"
"t18011028-57","10/28/1801"
"t18020428-14","4/28/1802"
"t18001203-73","12/3/1800"
"t18001203-78","12/3/1800"
"t18010415-82","4/15/1801"
"t18020428-42","4/28/1802"
"t18010114-10","1/14/1801"
"t18010114-101","1/14/1801"
"t18010114-102","1/14/1801"
"t18011202-53","12/2/1801"
"t18000917-127","9/17/1800"
"t18000917-128","9/17/1800"
"t18000917-13","9/17/1800"
"t18010520-37","5/20/1801"
"t18010520-48","5/20/1801"
"t18011202-57","12/2/1801"
"t18011202-65","12/2/1801"
"t18011202-73","12/2/1801"
"t18000917-18","9/17/1800"
"t18060219-67","2/19/1806"
"t18070701-28","7/1/1807"
"t18060917-49","9/17/1806"
"t18060917-56","9/17/1806"
"t18070701-56","7/1/1807"
"t18060416-49","4/16/1806"
"t18060917-73","9/17/1806"
"t18060416-78","4/16/1806"
"t18060521-12","5/21/1806"
"t18060917-91","9/17/1806"
"t18070218-21","2/18/1807"
"t18070218-6","2/18/1807"
"t18070408-1","4/8/1807"
"t18070916-6","9/16/1807"
"t18061029-5","10/29/1806"
"t18061029-58","10/29/1806"
"t18061029-73","10/29/1806"
"t18070408-49","4/8/1807"
"t18061203-23","12/3/1806"
"t18060702-27","7/2/1806"
"t18060702-34","7/2/1806"
"t18070408-62","4/8/1807"
"t18060702-53","7/2/1806"
"t18061203-42","12/3/1806"
"t18061203-55","12/3/1806"
"t18060917-103","9/17/1806"
"t18060917-106","9/17/1806"
"t18060917-114","9/17/1806"
"t18060917-125","9/17/1806"
"t18070114-23","1/14/1807"
"t18070513-34","5/13/1807"
"t18071028-67","10/28/1807"
"t18060917-16","9/17/1806"
"t18070513-45","5/13/1807"
"t18070513-57","5/13/1807"
"t18060917-17","9/17/1806"
"t18070701-11","7/1/1807"
"t18060416-29","4/16/1806"
"t18050424-74","4/24/1805"
"t18051030-22","10/30/1805"
"t18040215-59","2/15/1804"
"t18041205-44","12/5/1804"
"t18050424-84","4/24/1805"
"t18050424-97","4/24/1805"
"t18051030-30","10/30/1805"
"t18040215-76","2/15/1804"
"t18041205-60","12/5/1804"
"t18051030-50","10/30/1805"
"t18040411-15","4/11/1804"
"t18040411-17","4/11/1804"
"t18040411-37","4/11/1804"
"t18051030-63","10/30/1805"
"t18051030-65","10/30/1805"
"t18050109-16","1/9/1805"
"t18050109-46","1/9/1805"
"t18051204-20","12/4/1805"
"t18050710-35","7/10/1805"
"t18050710-42","7/10/1805"
"t18040516-31","5/16/1804"
"t18040516-33","5/16/1804"
"t18040516-44","5/16/1804"
"t18060115-8","1/15/1806"
"t18060219-12","2/19/1806"
"t18050220-60","2/20/1805"
"t18050710-78","7/10/1805"
"t18051204-43","12/4/1805"
"t18050918-103","9/18/1805"
"t18050918-111","9/18/1805"
"t18060115-19","1/15/1806"
"t18050918-115","9/18/1805"
"t18050918-121","9/18/1805"
"t18050424-126","4/24/1805"
"t18050918-2","9/18/1805"
"t18050424-13","4/24/1805"
"t18050918-40","9/18/1805"
"t18041024-41","10/24/1804"
"t18050424-32","4/24/1805"
"t18050918-76","9/18/1805"
"t18050424-4","4/24/1805"
"t18050918-87","9/18/1805"
"t18041024-54","10/24/1804"
"t18041024-56","10/24/1804"
"t18041205-10","12/5/1804"
"t18050424-50","4/24/1805"
"t18050424-52","4/24/1805"
"t18051030-12","10/30/1805"
"t18040111-78","1/11/1804"
"t18050424-64","4/24/1805"
"t18091101-53","11/1/1809"
"t18091206-28","12/6/1809"
"t18091206-3","12/6/1809"
"t18100411-65","4/11/1810"
"t18110109-33","1/9/1811"
"t18110109-35","1/9/1811"
"t18110109-36","1/9/1811"
"t18091206-38","12/6/1809"
"t18091206-45","12/6/1809"
"t18100411-82","4/11/1810"
"t18100411-89","4/11/1810"
"t18100606-12","6/6/1810"
"t18100606-13","6/6/1810"
"t18110220-27","2/20/1811"
"t18100606-31","6/6/1810"
"t18100919-61","9/19/1810"
"t18100919-75","9/19/1810"
"t18100919-82","9/19/1810"
"t18100221-15","2/21/1810"
"t18100606-36","6/6/1810"
"t18100606-52","6/6/1810"
"t18101031-31","10/31/1810"
"t18110403-65","4/3/1811"
"t18110529-43","5/29/1811"
"t18110529-61","5/29/1811"
"t18100718-3","7/18/1810"
"t18100718-32","7/18/1810"
"t18101031-80","10/31/1810"
"t18110403-16","4/3/1811"
"t18100221-93","2/21/1810"
"t18100411-1","4/11/1810"
"t18100411-106","4/11/1810"
"t18110403-83","4/3/1811"
"t18110403-89","4/3/1811"
"t18100411-120","4/11/1810"
"t18100718-7","7/18/1810"
"t18101205-23","12/5/1810"
"t18110529-87","5/29/1811"
"t18100718-87","7/18/1810"
"t18101205-42","12/5/1810"
"t18110403-63","4/3/1811"
"t18101205-60","12/5/1810"
"t18101205-71","12/5/1810"
"t18110529-124","5/29/1811"
"t18100919-126","9/19/1810"
"t18110220-45","2/20/1811"
"t18100411-55","4/11/1810"
"t18101205-91","12/5/1810"
"t18090111-33","1/11/1809"
"t18090626-61","6/26/1809"
"t18080601-91","6/1/1808"
"t18090626-8","6/26/1809"
"t18080713-41","7/13/1808"
"t18090215-10","2/15/1809"
"t18090626-91","6/26/1809"
"t18090626-97","6/26/1809"
"t18080914-101","9/14/1808"
"t18090215-14","2/15/1809"
"t18080217-44","2/17/1808"
"t18080217-47","2/17/1808"
"t18080914-123","9/14/1808"
"t18080914-132","9/14/1808"
"t18090920-145","9/20/1809"
"t18090215-79","2/15/1809"
"t18090920-52","9/20/1809"
"t18080914-26","9/14/1808"
"t18091101-109","11/1/1809"
"t18080914-78","9/14/1808"
"t18090215-95","2/15/1809"
"t18081126-14","11/26/1808"
"t18090920-60","9/20/1809"
"t18081126-15","11/26/1808"
"t18091101-110","11/1/1809"
"t18091101-2","11/1/1809"
"t18080406-73","4/6/1808"
"t18081126-33","11/26/1808"
"t18090920-31","9/20/1809"
"t18080406-82","4/6/1808"
"t18080406-92","4/6/1808"
"t18090517-19","5/17/1809"
"t18090920-78","9/20/1809"
"t18090920-126","9/20/1809"
"t18080601-8","6/1/1808"
"t18090111-17","1/11/1809"
"t18090111-22","1/11/1809"
"t18130113-31","1/13/1813"
"t18130602-29","6/2/1813"
"t18121202-95","12/2/1812"
"t18130113-42","1/13/1813"
"t18130113-82","1/13/1813"
"t18130217-14","2/17/1813"
"t18130602-58","6/2/1813"
"t18130217-29","2/17/1813"
"t18140112-90","1/12/1814"
"t18130915-77","9/15/1813"
"t18140420-171","4/20/1814"
"t18130217-77","2/17/1813"
"t18130714-111","7/14/1813"
"t18340703-48","7/3/1834"
"t18340904-45","9/4/1834"
"t18340904-52","9/4/1834"
"t18341016-98","10/16/1834"
"t18341205-246","12/5/1834"
"t18340904-56","9/4/1834"
"t18341124-104","11/24/1834"
"t18341205-312","12/5/1834"
"t18340904-81","9/4/1834"
"t18340904-82","9/4/1834"
"t18341124-12","11/24/1834"
"t18341205-215","12/5/1834"
"t18340904-9","9/4/1834"
"t18340904-10","9/4/1834"
"t18340904-98","9/4/1834"
"t18341016-10","10/16/1834"
"t18341124-71","11/24/1834"
"t18341124-84","11/24/1834"
"t18340515-90","5/15/1834"
"t18340904-127","9/4/1834"
"t18341124-146","11/24/1834"
"t18341124-157","11/24/1834"
"t18340703-10","7/3/1834"
"t18340703-107","7/3/1834"
"t18340703-108","7/3/1834"
"t18341016-134","10/16/1834"
"t18341016-135","10/16/1834"
"t18341016-142","10/16/1834"
"t18360201-493","2/1/1836"
"t18360201-538","2/1/1836"
"t18360201-543","2/1/1836"
"t18360229-811","2/29/1836"
"t18360201-510","2/1/1836"
"t18360509-1357","5/9/1836"
"t18360201-566","2/1/1836"
"t18360201-569","2/1/1836"
"t18360229-817","2/29/1836"
"t18360229-844","2/29/1836"
"t18360201-577","2/1/1836"
"t18360201-597","2/1/1836"
"t18360229-868","2/29/1836"
"t18360613-1392","6/13/1836"
"t18360613-1400","6/13/1836"
"t18360404-1007","4/4/1836"
"t18360404-1020","4/4/1836"
"t18360509-1144","5/9/1836"
"t18360404-1040","4/4/1836"
"t18360509-1151","5/9/1836"
"t18360613-1535","6/13/1836"
"t18360613-1544","6/13/1836"
"t18360404-1057","4/4/1836"
"t18360613-1436","6/13/1836"
"t18360229-716","2/29/1836"
"t18360404-1095","4/4/1836"
"t18360404-1108","4/4/1836"
"t18360509-1208","5/9/1836"
"t18360509-1214","5/9/1836"
"t18360229-725","2/29/1836"
"t18360404-1112","4/4/1836"
"t18360613-1460","6/13/1836"
"t18360229-735","2/29/1836"
"t18360404-884","4/4/1836"
"t18360404-889","4/4/1836"
"t18360613-1577","6/13/1836"
"t18360404-912","4/4/1836"
"t18360509-1271","5/9/1836"
"t18360509-1284","5/9/1836"
"t18360509-1287","5/9/1836"
"t18360613-1512","6/13/1836"
"t18360613-1527","6/13/1836"
"t18360229-785","2/29/1836"
"t18360613-1414","6/13/1836"
"t18360613-1425","6/13/1836"
"t18360201-514","2/1/1836"
"t18351214-189","12/14/1835"
"t18351026-2185","10/26/1835"
"t18350615-1533","6/15/1835"
"t18351214-214","12/14/1835"
"t18351214-232","12/14/1835"
"t18350615-1601","6/15/1835"
"t18350706-1608","7/6/1835"
"t18350706-1611","7/6/1835"
"t18350706-1615","7/6/1835"
"t18350817-1921","8/17/1835"
"t18351026-2262","10/26/1835"
"t18350706-1628","7/6/1835"
"t18360201-428","2/1/1836"
"t18360201-429","2/1/1836"
"t18360201-434","2/1/1836"
"t18350706-1659","7/6/1835"
"t18350921-1969","9/21/1835"
"t18350706-1680","7/6/1835"
"t18350817-1713","8/17/1835"
"t18351123-13","11/23/1835"
"t18350921-2048","9/21/1835"
"t18351123-17","11/23/1835"
"t18351123-179","11/23/1835"
"t18350817-1751","8/17/1835"
"t18350921-2069","9/21/1835"
"t18360201-421","2/1/1836"
"t18360201-423","2/1/1836"
"t18350817-1762","8/17/1835"
"t18350921-2071","9/21/1835"
"t18350921-2081","9/21/1835"
"t18351123-47","11/23/1835"
"t18351214-259","12/14/1835"
"t18350817-1790","8/17/1835"
"t18351123-61","11/23/1835"
"t18370102-369","1/2/1837"
"t18370102-377","1/2/1837"
"t18370102-418","1/2/1837"
"t18370227-709","2/27/1837"
"t18370508-1245","5/8/1837"
"t18370508-1260","5/8/1837"
"t18370403-1098","4/3/1837"
"t18370508-1310","5/8/1837"
"t18370403-1109","4/3/1837"
"t18370227-776","2/27/1837"
"t18370403-1113","4/3/1837"
"t18370403-1124","4/3/1837"
"t18370403-1146","4/3/1837"
"t18370403-1157","4/3/1837"
"t18370508-1336","5/8/1837"
"t18370508-1362","5/8/1837"
"t18370130-531","1/30/1837"
"t18370227-795","2/27/1837"
"t18370227-799","2/27/1837"
"t18370227-803","2/27/1837"
"t18370403-936","4/3/1837"
"t18370130-574","1/30/1837"
"t18370130-581","1/30/1837"
"t18370227-818","2/27/1837"
"t18370227-821","2/27/1837"
"t18370227-824","2/27/1837"
"t18370508-1368","5/8/1837"
"t18370227-830","2/27/1837"
"t18370403-970","4/3/1837"
"t18370227-844","2/27/1837"
"t18370612-1508","6/12/1837"
"t18370612-1510","6/12/1837"
"t18370130-638","1/30/1837"
"t18370508-1164","5/8/1837"
"t18370508-1166","5/8/1837"
"t18370612-1396","6/12/1837"
"t18370612-1397","6/12/1837"
"t18370612-1406","6/12/1837"
"t18370130-683","1/30/1837"
"t18370403-1007","4/3/1837"
"t18370403-1009","4/3/1837"
"t18370508-1177","5/8/1837"
"t18370612-1447","6/12/1837"
"t18370612-1450","6/12/1837"
"t18370403-1052","4/3/1837"
"t18370508-1208","5/8/1837"
"t18370102-414","1/2/1837"
"t18361024-2271","10/24/1836"
"t18361024-2273","10/24/1836"
"t18361128-193","11/28/1836"
"t18361128-194","11/28/1836"
"t18361128-211","11/28/1836"
"t18361128-26","11/28/1836"
"t18361128-28","11/28/1836"
"t18361128-34a","11/28/1836"
"t18360704-1659","7/4/1836"
"t18360704-1661","7/4/1836"
"t18360815-2008","8/15/1836"
"t18361024-2308","10/24/1836"
"t18361128-41a","11/28/1836"
"t18360704-1683","7/4/1836"
"t18360704-1698","7/4/1836"
"t18360815-2011","8/15/1836"
"t18361024-2331","10/24/1836"
"t18361212-306","12/12/1836"
"t18360704-1705","7/4/1836"
"t18360704-1708","7/4/1836"
"t18360704-1714","7/4/1836"
"t18361128-70","11/28/1836"
"t18361024-2391","10/24/1836"
"t18361212-243","12/12/1836"
"t18361024-2393","10/24/1836"
"t18361024-3402","10/24/1836"
"t18360919-2094","9/19/1836"
"t18360919-2099","9/19/1836"
"t18361024-3411","10/24/1836"
"t18361024-3442","10/24/1836"
"t18360815-1786","8/15/1836"
"t18361024-3449","10/24/1836"
"t18361024-3470","10/24/1836"
"t18360815-1815","8/15/1836"
"t18360919-2145","9/19/1836"
"t18361024-3475","10/24/1836"
"t18361212-239","12/12/1836"
"t18361128-107","11/28/1836"
"t18361212-274","12/12/1836"
"t18361212-287","12/12/1836"
"t18360815-1877","8/15/1836"
"t18361128-132","11/28/1836"
"t18360919-2187","9/19/1836"
"t18360815-1922","8/15/1836"
"t18360613-1610","6/13/1836"
"t18360919-2229","9/19/1836"
"t18380101-420","1/1/1838"
"t18380514-1401","5/14/1838"
"t18380101-461","1/1/1838"
"t18380226-834","2/26/1838"
"t18380101-439","1/1/1838"
"t18380618-1441","6/18/1838"
"t18380226-843","2/26/1838"
"t18380226-846","2/26/1838"
"t18380618-1449","6/18/1838"
"t18380514-1161","5/14/1838"
"t18380618-1465","6/18/1838"
"t18380129-568","1/29/1838"
"t18380129-586","1/29/1838"
"t18380402-1055","4/2/1838"
"t18380514-1213","5/14/1838"
"t18380618-1526","6/18/1838"
"t18380618-1534","6/18/1838"
"t18380129-623","1/29/1838"
"t18380129-639","1/29/1838"
"t18380618-1583","6/18/1838"
"t18380618-1605","6/18/1838"
"t18380709-1731","7/9/1838"
"t18380129-655","1/29/1838"
"t18380402-1087","4/2/1838"
"t18380514-1285","5/14/1838"
"t18380618-1536","6/18/1838"
"t18380226-677","2/26/1838"
"t18380402-1098","4/2/1838"
"t18380514-1297","5/14/1838"
"t18380618-1611","6/18/1838"
"t18380226-690","2/26/1838"
"t18380402-1130","4/2/1838"
"t18380709-1739","7/9/1838"
"t18380514-1336","5/14/1838"
"t18380618-1581","6/18/1838"
"t18380226-748","2/26/1838"
"t18380226-754","2/26/1838"
"t18380514-1342","5/14/1838"
"t18380402-964","4/2/1838"
"t18380618-1507","6/18/1838"
"t18380618-1511","6/18/1838"
"t18380226-797","2/26/1838"
"t18380101-456","1/1/1838"
"t18380101-460","1/1/1838"
"t18370612-1559","6/12/1837"
"t18370814-1923","8/14/1837"
"t18370814-1925","8/14/1837"
"t18370814-1931","8/14/1837"
"t18371023-2189","10/23/1837"
"t18371127-174","11/27/1837"
"t18370612-1576","6/12/1837"
"t18371023-2198","10/23/1837"
"t18371023-2224","10/23/1837"
"t18371023-2232","10/23/1837"
"t18370703-1635","7/3/1837"
"t18370814-1977","8/14/1837"
"t18370814-1985","8/14/1837"
"t18371023-2253","10/23/1837"
"t18370703-1646","7/3/1837"
"t18370703-1666","7/3/1837"
"t18370814-2012","8/14/1837"
"t18370814-2021","8/14/1837"
"t18371023-2285","10/23/1837"
"t18371023-2286","10/23/1837"
"t18371023-2288","10/23/1837"
"t18371211-233","12/11/1837"
"t18370703-1684","7/3/1837"
"t18370703-1686","7/3/1837"
"t18370918-2052","9/18/1837"
"t18371023-2295","10/23/1837"
"t18380101-349","1/1/1838"
"t18370918-2062","9/18/1837"
"t18370703-1710","7/3/1837"
"t18370918-2084","9/18/1837"
"t18371023-2341a","10/23/1837"
"t18371211-282","12/11/1837"
"t18370918-2090","9/18/1837"
"t18370918-2130","9/18/1837"
"t18371023-2378","10/23/1837"
"t18371023-2409","10/23/1837"
"t18371023-2413","10/23/1837"
"t18371023-2428","10/23/1837"
"t18371023-2435","10/23/1837"
"t18371127-228","11/27/1837"
"t18370918-2174","9/18/1837"
"t18371127-110","11/27/1837"
"t18370612-1525","6/12/1837"
"t18370814-1887","8/14/1837"
"t18370918-2204","9/18/1837"
"t18370612-1536","6/12/1837"
"t18370612-1546","6/12/1837"
"t18390513-1696","5/13/1839"
"t18390617-1724","6/17/1839"
"t18390204-644","2/4/1839"
"t18390617-1731","6/17/1839"
"t18390617-1736","6/17/1839"
"t18390204-714","2/4/1839"
"t18390204-723","2/4/1839"
"t18390304-955","3/4/1839"
"t18390304-962","3/4/1839"
"t18390304-972","3/4/1839"
"t18390617-1755","6/17/1839"
"t18390204-795","2/4/1839"
"t18390408-1418","4/8/1839"
"t18390408-1423","4/8/1839"
"t18390204-803","2/4/1839"
"t18390204-807","2/4/1839"
"t18390304-999","3/4/1839"
"t18390408-1154","4/8/1839"
"t18390408-1439","4/8/1839"
"t18390617-1784","6/17/1839"
"t18390204-815","2/4/1839"
"t18390204-817","2/4/1839"
"t18390408-1459","4/8/1839"
"t18390408-1464","4/8/1839"
"t18390408-1191","4/8/1839"
"t18390408-1195","4/8/1839"
"t18390513-1479","5/13/1839"
"t18390617-1834","6/17/1839"
"t18390304-1014","3/4/1839"
"t18390513-1506","5/13/1839"
"t18390617-1894","6/17/1839"
"t18390617-1897","6/17/1839"
"t18390304-1022","3/4/1839"
"t18390408-1249","4/8/1839"
"t18390408-1264","4/8/1839"
"t18390513-1532","5/13/1839"
"t18390617-1874","6/17/1839"
"t18390408-1277","4/8/1839"
"t18390513-1557","5/13/1839"
"t18390304-1071","3/4/1839"
"t18390708-2023","7/8/1839"
"t18390304-1120","3/4/1839"
"t18390617-1875","6/17/1839"
"t18390617-1881","6/17/1839"
"t18390304-1124","3/4/1839"
"t18390304-1128","3/4/1839"
"t18390408-1324","4/8/1839"
"t18390513-1621","5/13/1839"
"t18390617-1938","6/17/1839"
"t18390304-885","3/4/1839"
"t18390304-886","3/4/1839"
"t18390513-1643","5/13/1839"
"t18390304-900","3/4/1839"
"t18390304-922","3/4/1839"
"t18390204-682","2/4/1839"
"t18381022-2346","10/22/1838"
"t18381022-2350","10/22/1838"
"t18380820-1791","8/20/1838"
"t18380820-1806","8/20/1838"
"t18381126-97","11/26/1838"
"t18381022-2395","10/22/1838"
"t18381217-278","12/17/1838"
"t18380820-1822","8/20/1838"
"t18381217-300","12/17/1838"
"t18381217-330","12/17/1838"
"t18380917-2134","9/17/1838"
"t18380820-1854","8/20/1838"
"t18381022-2477","10/22/1838"
"t18380820-1864","8/20/1838"
"t18380917-2155","9/17/1838"
"t18380917-2162","9/17/1838"
"t18381022-2492","10/22/1838"
"t18381231-425","12/31/1838"
"t18380820-1880","8/20/1838"
"t18380820-1884","8/20/1838"
"t18380917-2182","9/17/1838"
"t18380917-2191","9/17/1838"
"t18381126-130","11/26/1838"
"t18390204-547","2/4/1839"
"t18390204-548","2/4/1839"
"t18380917-2196","9/17/1838"
"t18380917-2200","9/17/1838"
"t18380917-2203","9/17/1838"
"t18381217-398","12/17/1838"
"t18380820-1924","8/20/1838"
"t18381126-176","11/26/1838"
"t18381231-466","12/31/1838"
"t18381231-502","12/31/1838"
"t18380820-1928","8/20/1838"
"t18390204-551","2/4/1839"
"t18381126-193","11/26/1838"
"t18381126-20","11/26/1838"
"t18381217-410","12/17/1838"
"t18381217-411","12/17/1838"
"t18381022-2289","10/22/1838"
"t18380820-1979","8/20/1838"
"t18380820-1986","8/20/1838"
"t18381022-2299","10/22/1838"
"t18381022-2308","10/22/1838"
"t18381022-2317","10/22/1838"
"t18380820-1780","8/20/1838"
"t18381022-2334","10/22/1838"
"t18381022-2336","10/22/1838"
"t18400203-681","2/3/1840"
"t18400615-1624","6/15/1840"
"t18400615-1626","6/15/1840"
"t18400406-1076","4/6/1840"
"t18400615-1644","6/15/1840"
"t18400302-1001","3/2/1840"
"t18400406-1079","4/6/1840"
"t18400406-1080","4/6/1840"
"t18400406-1101","4/6/1840"
"t18400511-1329","5/11/1840"
"t18400511-1335","5/11/1840"
"t18400511-1342","5/11/1840"
"t18400615-1663","6/15/1840"
"t18400302-792","3/2/1840"
"t18400302-802","3/2/1840"
"t18400406-1107","4/6/1840"
"t18400511-1344","5/11/1840"
"t18400615-1694","6/15/1840"
"t18400406-1138","4/6/1840"
"t18400302-824","3/2/1840"
"t18400302-828","3/2/1840"
"t18400406-1154","4/6/1840"
"t18400511-1382","5/11/1840"
"t18400511-1405","5/11/1840"
"t18400302-859","3/2/1840"
"t18400406-1197","4/6/1840"
"t18400706-1867","7/6/1840"
"t18400706-1868","7/6/1840"
"t18400302-882","3/2/1840"
"t18400302-889","3/2/1840"
"t18400302-893","3/2/1840"
"t18400406-1221","4/6/1840"
"t18400511-1442","5/11/1840"
"t18400511-1462","5/11/1840"
"t18400817-1945","8/17/1840"
"t18400406-1226","4/6/1840"
"t18400511-1481","5/11/1840"
"t18400615-1792","6/15/1840"
"t18400406-1249","4/6/1840"
"t18400706-1878","7/6/1840"
"t18400706-1884","7/6/1840"
"t18400302-925","3/2/1840"
"t18400302-935","3/2/1840"
"t18400406-1275","4/6/1840"
"t18400511-1537","5/11/1840"
"t18400615-1551","6/15/1840"
"t18400817-1962","8/17/1840"
"t18400302-950","3/2/1840"
"t18400302-964","3/2/1840"
"t18400406-1287","4/6/1840"
"t18400706-1820","7/6/1840"
"t18400406-1019","4/6/1840"
"t18400511-1313","5/11/1840"
"t18400511-1318","5/11/1840"
"t18400615-1580","6/15/1840"
"t18400615-1592","6/15/1840"
"t18400706-1887","7/6/1840"
"t18400406-1036","4/6/1840"
"t18400615-1604","6/15/1840"
"t18400615-1728","6/15/1840"
"t18400406-1052","4/6/1840"
"t18400406-1054","4/6/1840"
"t18400203-639","2/3/1840"
"t18400615-1613","6/15/1840"
"t18391021-2912","10/21/1839"
"t18391216-351","12/16/1839"
"t18390916-2488","9/16/1839"
"t18390916-2489","9/16/1839"
"t18391021-2954","10/21/1839"
"t18391125-1","11/25/1839"
"t18391216-352","12/16/1839"
"t18391216-376","12/16/1839"
"t18390916-2534","9/16/1839"
"t18391125-11","11/25/1839"
"t18391125-119","11/25/1839"
"t18391216-382","12/16/1839"
"t18390812-2160","8/12/1839"
"t18400203-585","2/3/1840"
"t18390812-2178","8/12/1839"
"t18390812-2179","8/12/1839"
"t18390812-2181","8/12/1839"
"t18390916-2578","9/16/1839"
"t18391125-174","11/25/1839"
"t18391125-177","11/25/1839"
"t18390812-2216","8/12/1839"
"t18390812-2226","8/12/1839"
"t18390916-2597","9/16/1839"
"t18390916-2613","9/16/1839"
"t18390916-2625","9/16/1839"
"t18400106-510","1/6/1840"
"t18390916-2626","9/16/1839"
"t18390916-2628","9/16/1839"
"t18391125-231","11/25/1839"
"t18391125-244","11/25/1839"
"t18390812-2277","8/12/1839"
"t18390812-2283","8/12/1839"
"t18400106-527","1/6/1840"
"t18391125-30","11/25/1839"
"t18391021-2724","10/21/1839"
"t18391021-2764","10/21/1839"
"t18391125-92","11/25/1839"
"t18391021-2765","10/21/1839"
"t18391021-2768","10/21/1839"
"t18391021-2773","10/21/1839"
"t18391216-297","12/16/1839"
"t18400106-421","1/6/1840"
"t18400106-423","1/6/1840"
"t18391021-2809","10/21/1839"
"t18391021-2812","10/21/1839"
"t18391216-307","12/16/1839"
"t18391021-2864","10/21/1839"
"t18391216-319","12/16/1839"
"t18391216-330","12/16/1839"
"t18390708-2099","7/8/1839"
"t18390916-2456","9/16/1839"
"t18390916-2466","9/16/1839"
"t18410301-979","3/1/1841"
"t18410301-999","3/1/1841"
"t18410405-1008","4/5/1841"
"t18410614-1768","6/14/1841"
"t18410823-2133","8/23/1841"
"t18410405-1059","4/5/1841"
"t18410705-1815","7/5/1841"
"t18410405-1080","4/5/1841"
"t18410510-1515","5/10/1841"
"t18410510-1528","5/10/1841"
"t18410510-1531","5/10/1841"
"t18410510-1532","5/10/1841"
"t18410705-1846","7/5/1841"
"t18410705-1865","7/5/1841"
"t18410920-2404","9/20/1841"
"t18190915-232","9/15/1819"
"t18190915-242","9/15/1819"
"t18190421-159","4/21/1819"
"t18190707-17","7/7/1819"
"t18190421-173","4/21/1819"
"t18190421-174","4/21/1819"
"t18190526-19","5/26/1819"
"t18190526-2","5/26/1819"
"t18190421-192","4/21/1819"
"t18190915-252","9/15/1819"
"t18190421-202","4/21/1819"
"t18190915-40","9/15/1819"
"t18190421-212","4/21/1819"
"t18190526-58","5/26/1819"
"t18190915-86","9/15/1819"
"t18190421-238","4/21/1819"
"t18190707-90","7/7/1819"
"t18190915-254","9/15/1819"
"t18190915-255","9/15/1819"
"t18190915-261","9/15/1819"
"t18190526-80","5/26/1819"
"t18190915-122","9/15/1819"
"t18190915-143","9/15/1819"
"t18190915-145","9/15/1819"
"t18190915-148","9/15/1819"
"t18190217-69","2/17/1819"
"t18181028-73","10/28/1818"
"t18180617-28","6/17/1818"
"t18180617-42","6/17/1818"
"t18180617-63","6/17/1818"
"t18180909-307","9/9/1818"
"t18190113-154","1/13/1819"
"t18180617-79","6/17/1818"
"t18180617-8","6/17/1818"
"t18181202-107","12/2/1818"
"t18190113-25","1/13/1819"
